Order_ID,Order_Date,Month_Name,Calendar_Quarter,Fiscal_Quarter,Region,Sales_Rep,Customer_Segment,Customer_Type,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_Percent,Gross_Sales,Discount_Amount,Net_Sales,Unit_Cost,Total_Cost,Profit,Profit_Margin_Percent,Sales_Channel,Lead_Source,Order_Status,Rep_Monthly_Target
ORD100001,2025-07-11,Jul-2025,Q3,FY2025-Q2,East,Arjun Das,SMB,Returning,Software,Cloud Storage Plan,3,6288.99,2.5,18866.97,471.67,18395.3,1929.14,5787.42,12607.88,68.54,Retail,Referral,Completed,254449.0
ORD100002,2025-07-12,Jul-2025,Q3,FY2025-Q2,South,Rahul Nair,SMB,Returning,Furniture,Ergonomic Chair,2,12549.52,4.2,25099.04,1054.16,24044.88,6970.28,13940.56,10104.32,42.02,Online,Website Organic,Completed,214625.0
ORD100003,2025-07-20,Jul-2025,Q3,FY2025-Q2,North,Karan Mehta,Enterprise,Returning,Accessories,Webcam Cover,12,155.97,12.0,1871.64,224.6,1647.04,84.86,1018.32,628.72,38.17,Direct,Referral,Completed,212534.0
ORD100004,2025-07-20,Jul-2025,Q3,FY2025-Q2,West,Rohan Patil,Mid-Market,New,Software,CRM License,9,14905.49,7.6,134149.41,10195.36,123954.05,4320.36,38883.24,85070.81,68.63,Retail,Website Organic,Completed,233328.0
ORD100005,2025-07-21,Jul-2025,Q3,FY2025-Q2,North,Karan Mehta,Mid-Market,New,Furniture,Office Cabinet,2,8560.89,3.2,17121.78,547.9,16573.88,4876.77,9753.54,6820.34,41.15,Direct,Website Organic,Completed,182334.0
ORD100006,2025-07-24,Jul-2025,Q3,FY2025-Q2,South,Rahul Nair,SMB,New,Accessories,Laptop Sleeve,5,675.77,4.8,3378.85,162.18,3216.67,354.3,1771.5,1445.17,44.93,Online,Paid Ads,Completed,259395.0
ORD100007,2025-07-24,Jul-2025,Q3,FY2025-Q2,South,Rahul Nair,SMB,Returning,Accessories,Laptop Sleeve,1,681.83,0.0,681.83,0.0,681.83,357.72,357.72,324.11,47.54,Online,Referral,Completed,256037.0
ORD100008,2025-07-27,Jul-2025,Q3,FY2025-Q2,East,Ritu Ghosh,Mid-Market,New,Electronics,USB-C Hub,8,1768.74,7.1,14149.92,1004.64,13145.28,1069.79,8558.32,4586.96,34.89,Online,Cold Outreach,Completed,209148.0
ORD100009,2025-07-30,Jul-2025,Q3,FY2025-Q2,South,Vikram Reddy,Mid-Market,New,Software,Cloud Storage Plan,7,6186.53,9.1,43305.71,3940.82,39364.89,1773.3,12413.1,26951.79,68.47,Partner,Paid Ads,Completed,198433.0
ORD100010,2025-08-01,Aug-2025,Q3,FY2025-Q2,North,Sneha Iyer,SMB,Returning,Accessories,Desk Organizer,6,460.43,0.0,2762.58,0.0,2762.58,247.45,1484.7,1277.88,46.26,Online,Paid Ads,Completed,197639.0
