Record_ID,Year,Month_Name,Quarter,Facility_ID,Facility_Name,Facility_Type,Region,Facility_Area_SqFt,Energy_Type,Unit_of_Measure,Consumption_Amount,Unit_Cost_INR,Total_Cost_INR,Renewable_Percentage,CO2_Emission_Factor_kgCO2_per_unit,CO2_Emissions_kg,Peak_Demand_kW,Avg_Temperature_C,Heating_Cooling_Degree_Days,Operating_Hours,Headcount_Occupancy
ENG500001,2022,Jan-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,51885.0,8.38,434796.3,7.1,0.82,39524.96,113.1,23.0,30.9,711.0,451
ENG500002,2022,Jan-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8743.9,42.77,373976.6,0.0,2.02,17662.68,,23.0,30.9,711.0,451
ENG500003,2022,Jan-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1065.3,53.57,57068.12,0.0,0.35,372.85,,23.0,30.9,711.0,451
ENG500004,2022,Jan-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25210.1,3.28,82689.13,0.0,0.09,2268.91,,23.0,30.9,711.0,451
ENG500005,2022,Feb-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,57721.1,8.55,493515.41,7.5,0.82,43781.45,148.3,26.8,145.2,691.0,420
ENG500006,2022,Feb-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7660.9,42.12,322677.11,0.0,2.02,15475.02,,26.8,145.2,691.0,420
ENG500007,2022,Feb-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1248.9,53.79,67178.33,0.0,0.35,437.12,,26.8,145.2,691.0,420
ENG500008,2022,Feb-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25386.9,3.25,82507.43,0.0,0.09,2284.82,,26.8,145.2,691.0,420
ENG500009,2022,Mar-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,61703.0,8.43,520156.29,12.1,0.82,44474.29,274.8,26.5,136.1,386.0,403
ENG500010,2022,Mar-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8391.8,41.53,348511.45,0.0,2.02,16951.44,,26.5,136.1,386.0,403
ENG500011,2022,Mar-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1178.8,54.26,63961.69,0.0,0.35,412.58,,26.5,136.1,386.0,403
ENG500012,2022,Mar-2022,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25165.1,3.17,79773.37,0.0,0.09,2264.86,,26.5,136.1,386.0,403
ENG500013,2022,Apr-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,70097.3,8.46,593023.16,5.6,0.82,54260.92,249.3,29.8,233.9,493.0,479
ENG500014,2022,Apr-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7233.7,42.61,308227.96,0.0,2.02,14612.07,,29.8,233.9,493.0,479
ENG500015,2022,Apr-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1223.6,54.76,67004.34,0.0,0.35,428.26,,29.8,233.9,493.0,479
ENG500016,2022,Apr-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25200.2,3.2,80640.64,0.0,0.09,2268.02,,29.8,233.9,493.0,479
ENG500017,2022,May-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,68835.4,8.27,569268.76,7.0,0.82,52493.88,192.5,29.3,219.7,520.0,453
ENG500018,2022,May-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7798.8,41.33,322324.4,0.0,2.02,15753.58,,29.3,219.7,520.0,453
ENG500019,2022,May-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1319.7,56.47,74523.46,0.0,0.35,461.89,,29.3,219.7,520.0,453
ENG500020,2022,May-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26150.4,3.19,83419.78,0.0,0.09,2353.54,,29.3,219.7,520.0,453
ENG500021,2022,Jun-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,62762.1,8.31,521553.05,7.3,0.82,47707.98,150.9,27.1,152.6,612.0,411
ENG500022,2022,Jun-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7750.7,41.5,321654.05,0.0,2.02,15656.41,,27.1,152.6,612.0,411
ENG500023,2022,Jun-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1114.7,54.72,60996.38,0.0,0.35,390.14,,27.1,152.6,612.0,411
ENG500024,2022,Jun-2022,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25031.1,3.25,81351.07,0.0,0.09,2252.8,,27.1,152.6,612.0,411
ENG500025,2022,Jul-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,61094.9,8.65,528470.89,10.9,0.82,44637.16,219.3,25.1,93.9,493.0,457
ENG500026,2022,Jul-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7623.2,42.95,327416.44,0.0,2.02,15398.86,,25.1,93.9,493.0,457
ENG500027,2022,Jul-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1093.0,54.92,60027.56,0.0,0.35,382.55,,25.1,93.9,493.0,457
ENG500028,2022,Jul-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26870.2,3.24,87059.45,0.0,0.09,2418.32,,25.1,93.9,493.0,457
ENG500029,2022,Aug-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,58375.1,8.66,505528.37,8.8,0.82,43655.23,268.6,25.3,99.1,329.0,431
ENG500030,2022,Aug-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8336.5,42.57,354884.8,0.0,2.02,16839.73,,25.3,99.1,329.0,431
ENG500031,2022,Aug-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1195.9,55.86,66802.97,0.0,0.35,418.56,,25.3,99.1,329.0,431
ENG500032,2022,Aug-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,23595.5,3.18,75033.69,0.0,0.09,2123.59,,25.3,99.1,329.0,431
ENG500033,2022,Sep-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,61847.7,8.31,513954.39,7.9,0.82,46708.62,166.1,24.2,65.7,527.0,473
ENG500034,2022,Sep-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8562.1,41.07,351645.45,0.0,2.02,17295.44,,24.2,65.7,527.0,473
ENG500035,2022,Sep-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1063.2,55.25,58741.8,0.0,0.35,372.12,,24.2,65.7,527.0,473
ENG500036,2022,Sep-2022,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,24483.0,3.25,79569.75,0.0,0.09,2203.47,,24.2,65.7,527.0,473
ENG500037,2022,Oct-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,59551.8,8.33,496066.49,10.9,0.82,43509.74,145.8,26.5,133.6,710.0,453
ENG500038,2022,Oct-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8583.9,41.24,354000.04,0.0,2.02,17339.48,,26.5,133.6,710.0,453
ENG500039,2022,Oct-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1152.6,55.72,64222.87,0.0,0.35,403.41,,26.5,133.6,710.0,453
ENG500040,2022,Oct-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26775.5,3.14,84075.07,0.0,0.09,2409.8,,26.5,133.6,710.0,453
ENG500041,2022,Nov-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,55327.9,8.25,456455.17,9.1,0.82,41240.31,154.3,25.3,98.0,531.0,467
ENG500042,2022,Nov-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7637.0,41.12,314033.44,0.0,2.02,15426.74,,25.3,98.0,531.0,467
ENG500043,2022,Nov-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1049.9,55.08,57828.49,0.0,0.35,367.47,,25.3,98.0,531.0,467
ENG500044,2022,Nov-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26429.8,3.19,84311.06,0.0,0.09,2378.68,,25.3,98.0,531.0,467
ENG500045,2022,Dec-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,54369.3,8.75,475731.38,7.2,0.82,41372.86,141.0,20.3,52.1,548.0,433
ENG500046,2022,Dec-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8164.5,42.83,349685.53,0.0,2.02,16492.29,,20.3,52.1,548.0,433
