Company,Record_ID,Region,Country,City,Warehouse_ID,Warehouse_Name,SKU_ID,Product_Name,Product_Category,ABC_Classification,Supplier_Name,Unit_Cost_USD,Unit_Price_USD,Lead_Time_Days,Week_Start_Date,Month_Name,Quarter,Week_Number,Beginning_Inventory_Units,Units_Received,Demand_Forecast_Units,Actual_Demand_Units,Units_Sold,Backorder_Units,Ending_Inventory_Units,Safety_Stock_Units,Reorder_Point_Units,Max_Stock_Level_Units,Stockout_Flag,Stockout_Days,Fill_Rate_Percent,Avg_Inventory_Units,Inventory_Value_USD,Inventory_Turnover_Ratio_Annualized,Days_of_Supply,Carrying_Cost_Percent_Annual,Weekly_Carrying_Cost_USD
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400001,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1001,Webcam,Electronics,A,Meridian Trading Co.,79.86,135.87,14,2026-01-05,Jan-2026,Q1,1,1230.0,0,363.9,339.0,339.0,0.0,891.0,148,875,1805,No,0,100.0,1060.5,71155.26,16.62,18.4,0.276,449.52
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400027,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1002,Sparkling Water (Pack),Grocery/FMCG,C,Apex Wholesale,76.72,179.92,10,2026-01-05,Jan-2026,Q1,1,166.0,0,49.8,42.0,42.0,0.0,124.0,46,117,233,No,0,100.0,145.0,9513.28,15.06,20.7,0.16,34.23
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400053,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1003,Cutlery Set,Home & Kitchen,C,Vertex Sourcing Inc.,118.56,231.19,14,2026-01-05,Jan-2026,Q1,1,31.0,0,8.9,8.0,8.0,0.0,23.0,5,22,43,No,0,100.0,27.0,2726.88,15.41,20.1,0.156,9.6
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400079,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1004,Body Lotion,Health & Beauty,C,Union Supply Chain Ltd.,36.94,64.4,14,2026-01-05,Jan-2026,Q1,1,97.0,0,24.8,19.0,19.0,0.0,78.0,17,66,104,No,0,100.0,87.5,2881.32,11.29,28.7,0.244,15.17
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400105,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1005,Green Tea (Box),Grocery/FMCG,C,BlueOcean Distributors,103.77,242.16,21,2026-01-05,Jan-2026,Q1,1,40.0,0,10.0,9.0,9.0,0.0,31.0,8,38,54,No,0,100.0,35.5,3216.87,13.18,24.1,0.209,14.81
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400131,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1006,Vitamin C Serum,Health & Beauty,C,Meridian Trading Co.,34.0,59.36,21,2026-01-05,Jan-2026,Q1,1,80.0,0,15.3,14.0,14.0,0.0,66.0,12,57,94,No,0,100.0,73.0,2244.0,9.97,33.0,0.269,12.84
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400157,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1007,Lip Balm (3-pack),Health & Beauty,C,Global Source Partners,36.45,94.18,10,2026-01-05,Jan-2026,Q1,1,67.0,0,18.0,20.0,20.0,0.0,47.0,17,42,73,No,0,100.0,57.0,1713.15,18.25,16.4,0.237,9.47
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400183,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1008,Door Mat,Home & Kitchen,B,Pioneer Import Export,65.42,169.28,21,2026-01-05,Jan-2026,Q1,1,771.0,0,141.0,117.0,117.0,0.0,654.0,122,544,815,No,0,100.0,712.5,42784.68,8.54,39.1,0.183,164.04
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400209,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1009,Hoodie,Apparel,B,Pioneer Import Export,55.61,137.95,10,2026-01-05,Jan-2026,Q1,1,353.0,0,100.2,97.0,97.0,0.0,256.0,43,186,434,No,0,100.0,304.5,14236.16,16.56,18.5,0.226,73.59
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400235,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1010,Instant Coffee Jar,Grocery/FMCG,B,Apex Wholesale,125.1,209.51,7,2026-01-05,Jan-2026,Q1,1,347.0,0,141.4,170.0,170.0,0.0,177.0,58,199,460,No,0,100.0,262.0,22142.7,33.74,7.3,0.179,112.83
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400261,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1011,Storage Containers (Set),Home & Kitchen,A,Apex Wholesale,78.27,132.77,10,2026-01-05,Jan-2026,Q1,1,1249.0,0,403.8,424.0,424.0,0.0,825.0,267,843,1770,No,0,100.0,1037.0,64572.75,21.26,13.6,0.272,424.56
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400287,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1012,HDMI Cable,Electronics,C,Summit Vendor Group,85.63,142.39,10,2026-01-05,Jan-2026,Q1,1,118.0,0,38.9,31.0,31.0,0.0,87.0,23,78,192,No,0,100.0,102.5,7449.81,15.73,19.6,0.162,27.34
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400313,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1013,Bath Towel Set,Home & Kitchen,C,Pioneer Import Export,4.11,9.92,7,2026-01-05,Jan-2026,Q1,1,27.0,0,11.2,13.0,13.0,0.0,14.0,7,18,43,No,0,100.0,20.5,57.54,32.97,7.5,0.258,0.42
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400339,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1014,Wireless Earbuds,Electronics,C,Global Source Partners,109.6,193.89,10,2026-01-05,Jan-2026,Q1,1,115.0,0,31.8,36.0,36.0,0.0,79.0,21,66,148,No,0,100.0,97.0,8658.4,19.3,15.4,0.207,42.32
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400365,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1015,Sports Bra,Apparel,C,Vertex Sourcing Inc.,25.87,61.24,21,2026-01-05,Jan-2026,Q1,1,207.0,0,36.2,43.0,43.0,0.0,164.0,14,122,228,No,0,100.0,185.5,4242.68,12.05,26.7,0.272,25.1
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400391,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1016,Deodorant,Health & Beauty,B,Apex Wholesale,75.78,145.14,14,2026-01-05,Jan-2026,Q1,1,378.0,0,95.0,99.0,99.0,0.0,279.0,45,234,413,No,0,100.0,328.5,21142.62,15.67,19.7,0.276,132.13
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400417,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1017,Women's Leggings,Apparel,C,Vertex Sourcing Inc.,62.06,161.36,7,2026-01-05,Jan-2026,Q1,1,65.0,0,21.4,26.0,26.0,0.0,39.0,17,38,89,No,0,100.0,52.0,2420.34,26.0,10.5,0.174,10.8
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400443,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1018,Face Mask (Pack),Health & Beauty,C,Apex Wholesale,72.25,115.3,10,2026-01-05,Jan-2026,Q1,1,45.0,0,14.9,17.0,17.0,0.0,28.0,13,34,64,No,0,100.0,36.5,2023.0,24.22,11.5,0.244,12.37
