Company,Record_ID,Year,Month_Name,Quarter,Business_Segment,Asset_Name,Asset_Type,Region,Customer_Segment,Gas_Volume_MMSCMD,Capacity_MMSCMD,Capacity_Utilization_Percent,Average_Price_USD_per_MMBTU,Revenue_INR_Lakh,Opex_INR_Lakh,EBITDA_INR_Lakh,EBITDA_Margin_Percent,Flaring_Loss_MMSCM,Pipeline_Length_KM,Number_of_Customers,Reserves_BCM,Wells_in_Operation,Lifting_Cost_USD_per_BOE
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700001,2020,Jan-2020,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.09,10.92,83.2,6.03,52.55,20.02,32.53,61.9,0.085,0,0,45,23,7.83
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700002,2020,Feb-2020,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.29,10.92,85.03,7.24,64.48,24.26,40.22,62.38,0.164,0,0,45,22,5.54
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700003,2020,Mar-2020,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,10.12,10.92,92.63,6.74,65.39,31.36,34.03,52.04,0.071,0,0,45,22,4.57
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700004,2020,Apr-2020,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.38,10.92,85.86,6.44,57.91,25.22,32.69,56.45,0.129,0,0,45,22,6.5
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700005,2020,May-2020,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.24,10.92,84.58,7.14,63.25,27.04,36.21,57.25,0.165,0,0,45,22,8.98
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700006,2020,Jun-2020,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.87,10.92,81.19,6.91,58.76,22.0,36.76,62.56,0.144,0,0,45,22,5.81
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700007,2020,Jul-2020,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.85,10.92,81.01,7.27,61.68,24.06,37.62,60.99,0.15,0,0,45,22,7.86
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700008,2020,Aug-2020,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.41,10.92,86.13,6.79,61.25,27.09,34.16,55.77,0.059,0,0,45,22,9.16
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700009,2020,Sep-2020,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.4,10.92,86.04,7.29,65.69,30.76,34.93,53.17,0.116,0,0,45,22,8.47
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700010,2020,Oct-2020,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.47,10.92,77.53,6.57,53.35,23.45,29.9,56.04,0.078,0,0,45,23,7.78
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700011,2020,Nov-2020,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.95,10.92,81.92,7.33,62.89,25.1,37.79,60.09,0.076,0,0,45,23,7.04
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700012,2020,Dec-2020,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.08,10.92,83.11,7.03,61.19,28.1,33.09,54.08,0.086,0,0,45,23,9.19
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700013,2021,Jan-2021,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.54,10.92,87.32,7.05,64.48,24.19,40.29,62.48,0.114,0,0,45,23,8.68
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700014,2021,Feb-2021,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.21,10.92,84.3,7.05,62.25,28.51,33.74,54.2,0.177,0,0,45,22,4.92
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700015,2021,Mar-2021,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.7,10.92,88.79,7.29,67.79,25.52,42.27,62.35,0.179,0,0,45,22,4.67
