Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0001,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.07,60.0,10.9,Changeover/Setup,49.1,64,46,1,45,2.42,97.83,71.88,81.83,87.56,70.1,3.98,16.59,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0002,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,0.99,60.0,19.6,Quality Hold,40.4,59,32,3,29,8.15,90.62,54.24,67.33,80.01,48.82,3.45,27.23,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0003,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.37,60.0,34.7,Machine Breakdown,25.3,82,30,1,29,4.2,96.67,36.59,42.17,86.55,35.28,2.94,7.55,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0001,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.07,60.0,25.4,Machine Breakdown,34.6,64,30,2,28,5.17,93.33,46.88,57.67,81.03,43.61,3.08,11.76,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0002,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,0.99,60.0,0.8,No Downtime,59.2,59,47,2,45,3.47,95.74,79.66,98.67,80.19,75.75,4.88,40.21,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0003,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.37,60.0,0.9,No Downtime,59.1,82,75,3,72,3.48,96.0,91.46,98.5,92.63,87.59,6.43,17.84,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0001,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.07,60.0,23.1,Power Outage,36.9,64,37,1,36,1.78,97.3,57.81,61.5,93.71,56.08,3.48,12.04,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0002,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,0.99,60.0,0.8,No Downtime,59.2,59,53,2,51,4.46,96.23,89.83,98.67,90.43,85.86,5.75,33.35,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0003,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.37,60.0,11.7,Machine Breakdown,48.3,82,58,2,56,4.13,96.55,70.73,80.5,87.65,68.12,4.99,15.52,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0001,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,1.07,60.0,20.3,Staff Shortage,39.7,64,42,2,40,4.53,95.24,65.62,66.17,98.87,62.31,3.6,12.8,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0002,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Lavender Bar Soap,0.99,60.0,0.4,No Downtime,59.6,59,52,2,50,3.36,96.15,88.14,99.33,88.13,84.17,5.58,35.92,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0003,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,1.37,60.0,13.5,Changeover/Setup,46.5,82,65,2,63,3.67,96.92,79.27,77.5,102.03,76.64,7.14,14.49,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0001,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Lemon Bar Soap,1.07,60.0,9.7,Changeover/Setup,50.3,64,48,3,45,6.07,93.75,75.0,83.83,89.18,70.09,4.22,16.72,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0002,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Lavender Bar Soap,0.99,60.0,38.9,Machine Breakdown,21.1,59,18,1,17,4.58,94.44,30.51,35.17,86.17,28.62,1.91,12.58,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Mumbai,FCT001,Mumbai Soap Plant,LN0003,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Lemon Bar Soap,1.37,60.0,15.1,Power Outage,44.9,82,58,2,56,3.46,96.55,70.73,74.83,94.29,68.12,5.02,15.37,3
