Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0004,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.22,60.0,3.8,No Downtime,56.2,73,66,1,65,1.55,98.48,90.41,93.67,96.26,88.8,7.19,15.83,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0005,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.38,60.0,22.5,Staff Shortage,37.5,83,47,2,45,3.73,95.74,56.63,62.5,90.82,54.34,5.03,22.29,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0006,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,1.47,60.0,3.6,No Downtime,56.4,88,84,1,83,0.76,98.81,95.45,94.0,101.32,94.11,8.71,32.6,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0004,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.22,60.0,15.9,Machine Breakdown,44.1,73,46,2,44,3.8,95.65,63.01,73.5,85.5,60.11,4.54,14.7,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0005,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.38,60.0,16.4,Changeover/Setup,43.6,83,52,3,49,5.39,94.23,62.65,72.67,86.42,59.18,5.18,26.55,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0006,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,1.47,60.0,29.1,Machine Breakdown,30.9,88,42,1,41,3.22,97.62,47.73,51.5,92.46,46.48,4.59,18.34,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0004,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.22,60.0,1.1,No Downtime,58.9,73,67,2,65,2.27,97.01,91.78,98.17,93.24,88.8,6.73,17.5,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0005,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.38,60.0,33.1,Material Shortage,26.9,83,37,0,37,1.14,100.0,44.58,44.83,99.67,44.68,4.05,16.5,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0006,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,1.47,60.0,7.9,Quality Hold,52.1,88,72,4,68,5.99,94.44,81.82,86.83,94.01,77.09,6.35,33.59,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0004,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Sandalwood Bar Soap,1.22,60.0,31.2,Preventive Maintenance,28.8,73,33,1,32,1.9,96.97,45.21,48.0,93.92,43.72,3.4,8.12,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Delhi,FCT002,Delhi Soap Plant,LN0005,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Neem Bar Soap,1.38,60.0,1.4,No Downtime,58.6,83,82,2,80,2.66,97.56,98.8,97.67,101.4,96.62,7.67,33.18,2
