Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0007,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.32,60.0,18.6,Changeover/Setup,41.4,79,53,2,51,3.39,96.23,67.09,69.0,96.98,64.39,4.83,16.06,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0008,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,1.48,60.0,5.4,Changeover/Setup,54.6,89,71,2,69,3.12,97.18,79.78,91.0,87.86,77.7,7.64,21.02,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0009,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.12,60.0,19.2,Changeover/Setup,40.8,67,37,1,36,3.53,97.3,55.22,68.0,80.97,53.57,3.6,21.32,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0007,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.32,60.0,13.9,Material Shortage,46.1,79,53,3,50,6.14,94.34,67.09,76.83,87.1,63.13,5.82,18.99,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0008,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,1.48,60.0,44.4,Machine Breakdown,15.6,89,21,0,21,1.33,100.0,23.6,26.0,90.96,23.65,2.28,6.3,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0009,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.12,60.0,42.5,Machine Breakdown,17.5,67,16,1,15,6.13,93.75,23.88,29.17,81.63,22.32,1.68,8.24,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0007,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.32,60.0,23.8,Power Outage,36.2,79,41,1,40,3.37,97.56,51.9,60.33,85.8,50.5,4.21,14.21,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0008,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,1.48,60.0,14.4,Changeover/Setup,45.6,89,58,1,57,1.75,98.28,65.17,76.0,85.94,64.19,5.36,17.99,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0009,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.12,60.0,2.3,No Downtime,57.7,67,65,4,61,5.63,93.85,97.01,96.17,100.58,90.78,6.41,28.76,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Bangalore,FCT003,Bangalore Soap Plant,LN0007,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Sandalwood Bar Soap,1.32,60.0,28.5,Material Shortage,31.5,79,38,1,37,2.13,97.37,48.1,52.5,91.39,46.72,4.14,12.8,3
