Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0010,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,1.31,60.0,25.8,Preventive Maintenance,34.2,79,45,1,44,2.64,97.78,56.96,57.0,100.44,55.98,4.95,9.04,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0011,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.12,60.0,17.0,Preventive Maintenance,43.0,67,49,2,47,4.46,95.92,73.13,71.67,101.74,69.94,4.41,11.09,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0012,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,0.88,60.0,3.8,No Downtime,56.2,53,45,1,44,3.0,97.78,84.91,93.67,90.99,83.34,3.89,25.6,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0010,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,1.31,60.0,14.6,Quality Hold,45.4,79,50,5,45,9.35,90.0,63.29,75.67,84.07,57.25,4.57,11.76,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0011,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.12,60.0,23.4,Machine Breakdown,36.6,67,42,1,41,2.21,97.62,62.69,61.0,102.46,61.01,3.73,10.65,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0012,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,0.88,60.0,15.9,Changeover/Setup,44.1,53,34,1,33,2.87,97.06,64.15,73.5,87.61,62.5,3.42,19.41,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0010,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,1.31,60.0,20.9,Material Shortage,39.1,79,50,2,48,4.11,96.0,63.29,65.17,97.62,61.07,4.9,10.23,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0011,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.12,60.0,14.5,Changeover/Setup,45.5,67,47,2,45,5.23,95.74,70.15,75.83,92.23,66.96,4.24,11.72,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0012,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,0.88,60.0,2.3,No Downtime,57.7,53,49,0,49,0.76,100.0,92.45,96.17,96.5,92.8,4.32,24.14,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0010,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Aloe Vera Liquid Soap,1.31,60.0,6.8,Changeover/Setup,53.2,79,66,2,64,2.36,96.97,83.54,88.67,94.7,81.43,5.86,12.06,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0011,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Sandalwood Bar Soap,1.12,60.0,1.6,No Downtime,58.4,67,56,2,54,3.23,96.43,83.58,97.33,85.62,80.36,4.95,14.55,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0012,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,0.88,60.0,1.9,No Downtime,58.1,53,41,1,40,2.23,97.56,77.36,96.83,80.19,75.75,4.04,25.55,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0010,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Aloe Vera Liquid Soap,1.31,60.0,0.1,No Downtime,59.9,79,70,2,68,2.92,97.14,88.61,99.83,89.21,86.51,6.97,16.52,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0011,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Sandalwood Bar Soap,1.12,60.0,0.5,No Downtime,59.5,67,60,1,59,1.22,98.33,89.55,99.17,90.04,87.8,6.55,16.4,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0012,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Lemon Bar Soap,0.88,60.0,18.6,Quality Hold,41.4,53,32,2,30,6.02,93.75,60.38,69.0,87.83,56.82,3.17,19.39,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0010,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Aloe Vera Liquid Soap,1.31,60.0,35.9,Machine Breakdown,24.1,79,28,0,28,1.62,100.0,35.44,40.17,88.69,35.63,2.92,6.58,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0011,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Sandalwood Bar Soap,1.12,60.0,15.7,Quality Hold,44.3,67,50,4,46,8.87,92.0,74.63,73.83,100.77,68.45,4.32,11.67,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0012,Line-3,2026-07-01 05:00:00,2026-07-01,5,Night,Lemon Bar Soap,0.88,60.0,26.1,Preventive Maintenance,33.9,53,29,0,29,1.68,100.0,54.72,56.5,97.21,54.92,2.74,14.64,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0010,Line-1,2026-07-01 06:00:00,2026-07-01,6,Morning,Aloe Vera Liquid Soap,1.31,60.0,16.5,Machine Breakdown,43.5,79,58,2,56,2.75,96.55,73.42,72.5,101.78,71.24,5.57,10.32,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0011,Line-2,2026-07-01 06:00:00,2026-07-01,6,Morning,Sandalwood Bar Soap,1.12,60.0,0.4,No Downtime,59.6,67,55,3,52,5.01,94.55,82.09,99.33,82.39,77.38,5.32,15.93,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,India,Chennai,FCT004,Chennai Soap Plant,LN0012,Line-3,2026-07-01 06:00:00,2026-07-01,6,Morning,Lemon Bar Soap,0.88,60.0,0.2,No Downtime,59.8,53,45,1,44,3.11,97.78,84.91,99.67,85.51,83.34,4.72,25.19,2
