Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0013,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,0.76,60.0,13.4,Material Shortage,46.6,46,29,1,28,2.93,96.55,63.04,77.67,81.88,61.4,2.66,18.76,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0014,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.26,60.0,2.3,No Downtime,57.7,76,71,1,70,1.59,98.59,93.42,96.17,97.66,92.6,7.61,21.68,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0015,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.01,60.0,10.4,Quality Hold,49.6,61,48,2,46,5.16,95.83,78.69,82.67,95.82,75.91,4.28,23.27,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0013,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,0.76,60.0,19.0,Changeover/Setup,41.0,46,27,0,27,0.73,100.0,58.7,68.33,86.65,59.21,2.61,15.12,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0014,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.26,60.0,21.5,Machine Breakdown,38.5,76,47,2,45,3.79,95.74,61.84,64.17,96.89,59.53,4.45,14.52,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0015,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.01,60.0,26.0,Material Shortage,34.0,61,35,0,35,0.81,100.0,57.38,56.67,101.92,57.76,3.08,17.38,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0013,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,0.76,60.0,2.1,No Downtime,57.9,46,38,1,37,2.9,97.37,82.61,96.5,86.36,81.15,3.46,23.52,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0014,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.26,60.0,8.0,Power Outage,52.0,76,64,1,63,2.19,98.44,84.21,86.67,97.68,83.34,6.94,19.21,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0015,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.01,60.0,3.5,No Downtime,56.5,61,55,3,52,4.93,94.55,90.16,94.17,96.38,85.81,5.62,29.05,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shanghai,FCT005,Shanghai Soap Plant,LN0013,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Sandalwood Bar Soap,0.76,60.0,3.7,No Downtime,56.3,46,37,2,35,4.19,94.59,80.43,93.83,86.47,76.75,3.8,21.16,3
