Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0016,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,1.48,60.0,7.5,Power Outage,52.5,89,79,1,78,1.71,98.73,88.76,87.5,101.67,87.83,8.58,37.04,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0017,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,1.22,60.0,14.9,Machine Breakdown,45.1,73,44,2,42,4.35,95.45,60.27,75.17,79.97,57.38,4.37,21.43,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0018,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.54,60.0,0.3,No Downtime,59.7,92,94,2,92,2.51,97.87,102.17,99.5,102.24,99.56,8.93,18.25,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0016,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,1.48,60.0,0.3,No Downtime,59.7,89,82,3,79,3.65,96.34,92.13,99.5,92.81,88.97,7.14,39.82,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0017,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,1.22,60.0,2.6,No Downtime,57.4,73,59,3,56,4.68,94.92,80.82,95.67,84.25,76.51,6.32,27.17,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0018,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.54,60.0,1.5,No Downtime,58.5,92,77,2,75,2.49,97.4,83.7,97.5,85.47,81.17,7.69,17.45,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0016,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,1.48,60.0,19.8,Changeover/Setup,40.2,89,56,1,55,2.67,98.21,62.92,67.0,94.12,61.93,4.77,28.25,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0017,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,1.22,60.0,3.6,No Downtime,56.4,73,58,1,57,2.42,98.28,79.45,94.0,84.29,77.87,4.99,23.73,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0018,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.54,60.0,3.2,No Downtime,56.8,92,83,2,81,2.15,97.59,90.22,94.67,94.89,87.67,8.88,16.23,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0016,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Rose Bar Soap,1.48,60.0,10.5,Power Outage,49.5,89,59,2,57,3.55,96.61,66.29,82.5,80.54,64.19,5.9,34.0,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0017,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Coconut Bar Soap,1.22,60.0,32.2,Machine Breakdown,27.8,73,28,1,27,4.36,96.43,38.36,46.33,82.56,36.88,2.87,11.54,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0018,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.54,60.0,2.6,No Downtime,57.4,92,76,3,73,4.02,96.05,82.61,95.67,85.98,79.01,7.94,17.96,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0016,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Rose Bar Soap,1.48,60.0,14.3,Changeover/Setup,45.7,89,67,3,64,4.34,95.52,75.28,76.17,99.06,72.07,7.21,29.95,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0017,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Coconut Bar Soap,1.22,60.0,3.1,No Downtime,56.9,73,64,2,62,2.91,96.88,87.67,94.83,92.2,84.71,6.74,25.16,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0018,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.54,60.0,9.2,Quality Hold,50.8,92,80,7,73,9.35,91.25,86.96,84.67,102.26,79.01,6.96,14.18,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0016,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Rose Bar Soap,1.48,60.0,1.9,No Downtime,58.1,89,84,4,80,4.73,95.24,94.38,96.83,97.69,90.09,8.73,40.81,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Beijing,FCT006,Beijing Soap Plant,LN0017,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Coconut Bar Soap,1.22,60.0,40.7,Machine Breakdown,19.3,73,21,1,20,3.66,95.24,28.77,32.17,89.19,27.33,1.93,9.48,3
