Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,1.13,60.0,2.5,No Downtime,57.5,68,55,3,52,6.07,94.55,80.88,95.83,84.65,76.7,5.12,18.53,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,1.4,60.0,34.9,Material Shortage,25.1,84,32,1,31,3.34,96.88,38.1,41.83,91.06,36.9,3.3,12.4,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,0.9,60.0,2.7,No Downtime,57.3,54,44,2,42,3.58,95.45,81.48,95.5,85.32,77.77,3.76,18.36,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,1.13,60.0,0.9,No Downtime,59.1,68,65,2,63,3.02,96.92,95.59,98.5,97.33,92.92,5.61,18.82,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,1.4,60.0,0.7,No Downtime,59.3,84,74,3,71,3.77,95.95,88.1,98.83,89.14,84.53,6.38,30.38,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,0.9,60.0,36.6,Preventive Maintenance,23.4,54,18,0,18,2.07,100.0,33.33,39.0,85.47,33.33,1.54,7.27,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,1.13,60.0,26.3,Power Outage,33.7,68,37,1,36,3.46,97.3,54.41,56.17,97.16,53.1,3.33,10.29,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,1.4,60.0,2.3,No Downtime,57.7,84,75,0,75,0.0,100.0,89.29,96.17,92.84,89.28,6.48,31.72,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,0.9,60.0,19.2,Power Outage,40.8,54,31,1,30,1.95,96.77,57.41,68.0,84.42,55.55,3.13,13.04,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Aloe Vera Liquid Soap,1.13,60.0,10.2,Changeover/Setup,49.8,68,51,3,48,5.7,94.12,75.0,83.0,90.63,70.8,5.4,13.8,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Coconut Bar Soap,1.4,60.0,3.1,No Downtime,56.9,84,81,4,77,5.02,95.06,96.43,94.83,101.68,91.66,7.32,32.02,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,0.9,60.0,24.1,Power Outage,35.9,54,29,1,28,2.6,96.55,53.7,59.83,89.76,51.85,2.53,12.21,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Aloe Vera Liquid Soap,1.13,60.0,0.0,No Downtime,60.0,68,56,1,55,2.6,98.21,82.35,100.0,82.6,81.12,5.77,19.71,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Coconut Bar Soap,1.4,60.0,6.0,Changeover/Setup,54.0,84,71,3,68,3.74,95.77,84.52,90.0,93.92,80.95,7.39,26.88,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Lemon Bar Soap,0.9,60.0,10.9,Changeover/Setup,49.1,54,40,1,39,2.71,97.5,74.07,81.83,90.52,72.22,3.58,16.12,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Aloe Vera Liquid Soap,1.13,60.0,3.6,No Downtime,56.4,68,54,2,52,4.17,96.3,79.41,94.0,84.73,76.7,4.61,16.54,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Coconut Bar Soap,1.4,60.0,2.6,No Downtime,57.4,84,79,2,77,3.05,97.47,94.05,95.67,98.31,91.67,7.89,31.13,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 05:00:00,2026-07-01,5,Night,Lemon Bar Soap,0.9,60.0,19.3,Changeover/Setup,40.7,54,33,1,32,3.19,96.97,61.11,67.83,90.09,59.26,2.9,13.6,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 06:00:00,2026-07-01,6,Morning,Aloe Vera Liquid Soap,1.13,60.0,18.7,Staff Shortage,41.3,68,45,2,43,5.38,95.56,66.18,68.83,96.42,63.42,4.73,11.53,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 06:00:00,2026-07-01,6,Morning,Coconut Bar Soap,1.4,60.0,12.0,Changeover/Setup,48.0,84,60,2,58,2.59,96.67,71.43,80.0,89.29,69.05,5.96,24.95,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 06:00:00,2026-07-01,6,Morning,Lemon Bar Soap,0.9,60.0,7.3,Changeover/Setup,52.7,54,44,2,42,5.15,95.45,81.48,87.83,92.77,77.77,4.54,16.91,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 07:00:00,2026-07-01,7,Morning,Aloe Vera Liquid Soap,1.13,60.0,2.4,No Downtime,57.6,68,53,2,51,3.88,96.23,77.94,96.0,81.43,75.23,5.03,17.02,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 07:00:00,2026-07-01,7,Morning,Coconut Bar Soap,1.4,60.0,18.1,Machine Breakdown,41.9,84,52,1,51,1.58,98.08,61.9,69.83,88.65,60.72,4.91,21.08,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 07:00:00,2026-07-01,7,Morning,Lemon Bar Soap,0.9,60.0,24.5,Material Shortage,35.5,54,29,1,28,4.1,96.55,53.7,59.17,90.77,51.86,2.62,10.47,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 08:00:00,2026-07-01,8,Morning,Aloe Vera Liquid Soap,1.13,60.0,34.5,Machine Breakdown,25.5,68,29,1,28,2.51,96.55,42.65,42.5,100.64,41.3,3.09,7.39,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 08:00:00,2026-07-01,8,Morning,Coconut Bar Soap,1.4,60.0,25.3,Material Shortage,34.7,84,47,1,46,3.18,97.87,55.95,57.83,96.75,54.76,4.84,16.87,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 08:00:00,2026-07-01,8,Morning,Lemon Bar Soap,0.9,60.0,3.4,No Downtime,56.6,54,52,1,51,1.23,98.08,96.3,94.33,102.08,94.44,5.3,19.08,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 09:00:00,2026-07-01,9,Morning,Aloe Vera Liquid Soap,1.13,60.0,15.1,Staff Shortage,44.9,68,46,1,45,2.99,97.83,67.65,74.83,90.66,66.37,4.2,13.01,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 09:00:00,2026-07-01,9,Morning,Coconut Bar Soap,1.4,60.0,21.1,Material Shortage,38.9,84,52,1,51,2.04,98.08,61.9,64.83,95.48,60.71,5.7,21.61,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 09:00:00,2026-07-01,9,Morning,Lemon Bar Soap,0.9,60.0,12.4,Machine Breakdown,47.6,54,37,0,37,0.69,100.0,68.52,79.33,86.37,68.52,3.73,15.08,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 10:00:00,2026-07-01,10,Morning,Aloe Vera Liquid Soap,1.13,60.0,1.5,No Downtime,58.5,68,68,3,65,3.95,95.59,100.0,97.5,102.87,95.88,6.74,16.35,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 10:00:00,2026-07-01,10,Morning,Coconut Bar Soap,1.4,60.0,36.4,Preventive Maintenance,23.6,84,30,1,29,1.87,96.67,35.71,39.33,90.8,34.52,3.24,12.29,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 10:00:00,2026-07-01,10,Morning,Lemon Bar Soap,0.9,60.0,3.4,No Downtime,56.6,54,52,2,50,3.14,96.15,96.3,94.33,102.08,92.58,5.4,20.1,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 11:00:00,2026-07-01,11,Morning,Aloe Vera Liquid Soap,1.13,60.0,13.4,Power Outage,46.6,68,45,1,44,2.71,97.78,66.18,77.67,85.46,64.9,4.93,13.85,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 11:00:00,2026-07-01,11,Morning,Coconut Bar Soap,1.4,60.0,2.5,No Downtime,57.5,84,74,2,72,2.43,97.3,88.1,95.83,91.93,85.72,6.67,29.09,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 11:00:00,2026-07-01,11,Morning,Lemon Bar Soap,0.9,60.0,36.7,Preventive Maintenance,23.3,54,19,1,18,3.98,94.74,35.19,38.83,90.61,33.33,1.71,7.41,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 12:00:00,2026-07-01,12,Morning,Aloe Vera Liquid Soap,1.13,60.0,0.9,No Downtime,59.1,68,60,1,59,2.49,98.33,88.24,98.5,89.84,87.01,6.32,18.28,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 12:00:00,2026-07-01,12,Morning,Coconut Bar Soap,1.4,60.0,44.4,Machine Breakdown,15.6,84,21,0,21,0.24,100.0,25.0,26.0,96.15,25.0,1.79,8.15,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 12:00:00,2026-07-01,12,Morning,Lemon Bar Soap,0.9,60.0,3.9,No Downtime,56.1,54,46,1,45,1.97,97.83,85.19,93.5,91.11,83.34,4.64,19.24,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 13:00:00,2026-07-01,13,Morning,Aloe Vera Liquid Soap,1.13,60.0,26.4,Preventive Maintenance,33.6,68,31,1,30,1.76,96.77,45.59,56.0,81.65,44.25,3.23,10.81,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 13:00:00,2026-07-01,13,Morning,Coconut Bar Soap,1.4,60.0,0.2,No Downtime,59.8,84,74,4,70,5.76,94.59,88.1,99.67,88.39,83.33,6.79,30.15,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 13:00:00,2026-07-01,13,Morning,Lemon Bar Soap,0.9,60.0,27.6,Material Shortage,32.4,54,29,1,28,3.14,96.55,53.7,54.0,99.45,51.85,3.0,10.78,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 14:00:00,2026-07-01,14,Afternoon,Aloe Vera Liquid Soap,1.13,60.0,1.3,No Downtime,58.7,68,58,3,55,4.4,94.83,85.29,97.83,87.44,81.12,5.47,17.41,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 14:00:00,2026-07-01,14,Afternoon,Coconut Bar Soap,1.4,60.0,1.4,No Downtime,58.6,84,74,3,71,3.82,95.95,88.1,97.67,90.2,84.53,7.44,33.21,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 14:00:00,2026-07-01,14,Afternoon,Lemon Bar Soap,0.9,60.0,5.6,Changeover/Setup,54.4,54,42,2,40,4.01,95.24,77.78,90.67,85.78,74.07,3.92,16.11,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 15:00:00,2026-07-01,15,Afternoon,Aloe Vera Liquid Soap,1.13,60.0,31.1,Preventive Maintenance,28.9,68,32,1,31,3.01,96.88,47.06,48.17,97.99,45.73,3.05,8.6,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 15:00:00,2026-07-01,15,Afternoon,Coconut Bar Soap,1.4,60.0,3.6,No Downtime,56.4,84,80,3,77,3.36,96.25,95.24,94.0,101.32,91.67,8.17,31.31,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 15:00:00,2026-07-01,15,Afternoon,Lemon Bar Soap,0.9,60.0,0.2,No Downtime,59.8,54,47,0,47,0.0,100.0,87.04,99.67,87.33,87.04,4.03,18.08,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0019,Line-1,2026-07-01 16:00:00,2026-07-01,16,Afternoon,Aloe Vera Liquid Soap,1.13,60.0,2.2,No Downtime,57.8,68,63,2,61,3.3,96.83,92.65,96.33,96.46,89.97,6.55,16.1,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0020,Line-2,2026-07-01 16:00:00,2026-07-01,16,Afternoon,Coconut Bar Soap,1.4,60.0,10.5,Changeover/Setup,49.5,84,71,2,69,2.34,97.18,84.52,82.5,102.45,82.14,6.35,23.84,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Guangzhou,FCT007,Guangzhou Soap Plant,LN0021,Line-3,2026-07-01 16:00:00,2026-07-01,16,Afternoon,Lemon Bar Soap,0.9,60.0,18.4,Changeover/Setup,41.6,54,30,1,29,2.49,96.67,55.56,69.33,80.13,53.7,2.63,13.98,3
