Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0022,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.65,60.0,1.6,No Downtime,58.4,99,97,3,94,2.83,96.91,97.98,97.33,100.66,94.95,9.93,16.27,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0023,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,1.02,60.0,25.2,Preventive Maintenance,34.8,61,30,1,29,4.56,96.67,49.18,58.0,84.52,47.39,3.2,18.55,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0024,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.43,60.0,23.3,Material Shortage,36.7,86,48,1,47,3.1,97.92,55.81,61.17,91.46,54.78,4.34,23.14,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0022,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.65,60.0,11.4,Changeover/Setup,48.6,99,70,3,67,3.61,95.71,70.71,81.0,87.29,67.67,6.49,12.31,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0023,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,1.02,60.0,20.7,Power Outage,39.3,61,34,1,33,4.02,97.06,55.74,65.5,84.82,53.92,3.61,20.4,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0024,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.43,60.0,16.3,Changeover/Setup,43.7,86,63,2,61,2.99,96.83,73.26,72.83,100.81,71.09,5.42,24.67,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0022,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.65,60.0,1.9,No Downtime,58.1,99,91,4,87,4.2,95.6,91.92,96.83,94.93,87.88,9.32,16.67,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0023,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,1.02,60.0,24.4,Preventive Maintenance,35.6,61,34,1,33,2.65,97.06,55.74,59.33,93.63,53.92,3.55,21.78,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0024,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.43,60.0,3.9,No Downtime,56.1,86,71,2,69,3.06,97.18,82.56,93.5,88.5,80.41,6.27,32.05,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0022,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,1.65,60.0,2.6,No Downtime,57.4,99,96,4,92,4.52,95.83,96.97,95.67,101.36,92.93,10.0,15.05,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0023,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Coconut Bar Soap,1.02,60.0,1.3,No Downtime,58.7,61,62,1,61,1.99,98.39,101.64,97.83,103.55,99.67,5.38,34.8,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0024,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Sandalwood Bar Soap,1.43,60.0,25.0,Preventive Maintenance,35.0,86,42,1,41,2.07,97.62,48.84,58.33,83.92,47.79,4.23,19.17,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0022,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Lemon Bar Soap,1.65,60.0,3.8,No Downtime,56.2,99,87,2,85,2.43,97.7,87.88,93.67,93.82,85.86,7.52,16.58,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,China,Shenzhen,FCT008,Shenzhen Soap Plant,LN0023,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Coconut Bar Soap,1.02,60.0,3.3,No Downtime,56.7,61,53,3,50,5.16,94.34,86.89,94.5,91.64,81.7,5.8,31.42,1
