Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,0.85,60.0,21.8,Material Shortage,38.2,51,32,1,31,2.42,96.88,62.75,63.67,98.55,60.79,2.83,10.08,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,1.13,60.0,3.3,No Downtime,56.7,68,58,2,56,3.35,96.55,85.29,94.5,90.52,82.59,5.45,32.03,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,0.81,60.0,10.6,Quality Hold,49.4,49,41,4,37,9.92,90.24,83.67,82.33,102.46,76.12,3.99,22.01,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,0.85,60.0,6.4,Changeover/Setup,53.6,51,45,1,44,1.98,97.78,88.24,89.33,98.77,86.27,4.55,13.47,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,1.13,60.0,1.4,No Downtime,58.6,68,56,1,55,1.28,98.21,82.35,97.67,84.57,81.12,4.93,35.57,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,0.81,60.0,32.2,Material Shortage,27.8,49,21,0,21,1.46,100.0,42.86,46.33,93.26,43.21,2.19,12.44,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,0.85,60.0,16.2,Power Outage,43.8,51,33,1,32,3.36,96.97,64.71,73.0,88.64,62.75,3.07,11.41,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,1.13,60.0,0.2,No Downtime,59.8,68,55,3,52,4.99,94.55,80.88,99.67,81.39,76.7,4.98,35.84,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,0.81,60.0,20.0,Power Outage,40.0,49,29,0,29,0.61,100.0,59.18,66.67,89.51,59.68,2.54,17.81,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Lavender Bar Soap,0.85,60.0,2.3,No Downtime,57.7,51,46,2,44,3.88,95.65,90.2,96.17,93.79,86.27,4.15,13.48,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Lavender Bar Soap,1.13,60.0,17.0,Material Shortage,43.0,68,42,1,41,1.9,97.62,61.76,71.67,86.44,60.48,4.06,22.83,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,0.81,60.0,15.2,Quality Hold,44.8,49,31,3,28,10.18,90.32,63.27,74.67,85.43,57.62,2.96,20.87,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Lavender Bar Soap,0.85,60.0,1.5,No Downtime,58.5,51,47,1,46,3.03,97.87,92.16,97.5,94.52,90.19,5.0,14.29,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Lavender Bar Soap,1.13,60.0,26.4,Power Outage,33.6,68,37,1,36,3.24,97.3,54.41,56.0,97.45,53.1,4.0,19.85,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,0.81,60.0,0.7,No Downtime,59.3,49,43,1,42,2.78,97.67,87.76,98.83,89.52,86.41,3.81,25.02,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Lavender Bar Soap,0.85,60.0,1.9,No Downtime,58.1,51,48,2,46,3.63,95.83,94.12,96.83,97.2,90.19,4.53,13.85,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Lavender Bar Soap,1.13,60.0,16.0,Machine Breakdown,44.0,68,45,1,44,2.98,97.78,66.18,73.33,90.51,64.9,4.0,26.78,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 05:00:00,2026-07-01,5,Night,Charcoal Bar Soap,0.81,60.0,37.3,Preventive Maintenance,22.7,49,15,1,14,3.36,93.33,30.61,37.83,81.58,28.8,1.63,10.85,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 06:00:00,2026-07-01,6,Morning,Lavender Bar Soap,0.85,60.0,39.2,Machine Breakdown,20.8,51,15,1,14,4.52,93.33,29.41,34.67,84.84,27.45,1.42,5.53,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 06:00:00,2026-07-01,6,Morning,Lavender Bar Soap,1.13,60.0,2.7,No Downtime,57.3,68,58,1,57,2.19,98.28,85.29,95.5,89.58,84.08,5.46,32.75,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 06:00:00,2026-07-01,6,Morning,Charcoal Bar Soap,0.81,60.0,10.7,Changeover/Setup,49.3,49,40,2,38,3.96,95.0,81.63,82.17,100.17,78.19,3.62,21.01,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 07:00:00,2026-07-01,7,Morning,Lavender Bar Soap,0.85,60.0,24.0,Machine Breakdown,36.0,51,28,1,27,3.84,96.43,54.9,60.0,91.5,52.94,2.77,9.37,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 07:00:00,2026-07-01,7,Morning,Lavender Bar Soap,1.13,60.0,30.2,Material Shortage,29.8,68,33,1,32,3.91,96.97,48.53,49.67,98.0,47.2,3.07,17.68,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 07:00:00,2026-07-01,7,Morning,Charcoal Bar Soap,0.81,60.0,26.9,Material Shortage,33.1,49,23,1,22,3.71,95.65,46.94,55.17,85.79,45.27,2.02,13.5,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 08:00:00,2026-07-01,8,Morning,Lavender Bar Soap,0.85,60.0,26.1,Material Shortage,33.9,51,26,1,25,4.28,96.15,50.98,56.5,90.23,49.02,2.59,9.29,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 08:00:00,2026-07-01,8,Morning,Lavender Bar Soap,1.13,60.0,18.2,Machine Breakdown,41.8,68,38,2,36,4.44,94.74,55.88,69.67,80.45,53.1,3.34,25.73,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 08:00:00,2026-07-01,8,Morning,Charcoal Bar Soap,0.81,60.0,0.4,No Downtime,59.6,49,43,2,41,3.63,95.35,87.76,99.33,89.07,84.36,3.89,24.93,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 09:00:00,2026-07-01,9,Morning,Lavender Bar Soap,0.85,60.0,17.0,Changeover/Setup,43.0,51,33,1,32,4.21,96.97,64.71,71.67,90.29,62.75,3.01,10.08,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 09:00:00,2026-07-01,9,Morning,Lavender Bar Soap,1.13,60.0,5.7,Quality Hold,54.3,68,53,4,49,7.53,92.45,77.94,90.5,86.38,72.27,5.4,31.74,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 09:00:00,2026-07-01,9,Morning,Charcoal Bar Soap,0.81,60.0,1.6,No Downtime,58.4,49,39,2,37,3.99,94.87,79.59,97.33,82.45,76.13,3.89,27.12,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 10:00:00,2026-07-01,10,Morning,Lavender Bar Soap,0.85,60.0,44.5,Machine Breakdown,15.5,51,11,0,11,2.43,100.0,21.57,25.83,83.49,21.57,1.01,3.93,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 10:00:00,2026-07-01,10,Morning,Lavender Bar Soap,1.13,60.0,0.5,No Downtime,59.5,68,65,3,62,4.66,95.38,95.59,99.17,96.68,91.45,5.62,38.23,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 10:00:00,2026-07-01,10,Morning,Charcoal Bar Soap,0.81,60.0,10.4,Power Outage,49.6,49,38,2,36,4.35,94.74,77.55,82.67,94.58,74.08,4.05,20.41,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0025,Line-1,2026-07-01 11:00:00,2026-07-01,11,Morning,Lavender Bar Soap,0.85,60.0,15.8,Quality Hold,44.2,51,32,3,29,8.29,90.62,62.75,73.67,85.17,56.86,2.93,10.26,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0026,Line-2,2026-07-01 11:00:00,2026-07-01,11,Morning,Lavender Bar Soap,1.13,60.0,27.0,Material Shortage,33.0,68,33,1,32,2.83,96.97,48.53,55.0,88.5,47.2,3.58,21.05,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Tokyo,FCT009,Tokyo Soap Plant,LN0027,Line-3,2026-07-01 11:00:00,2026-07-01,11,Morning,Charcoal Bar Soap,0.81,60.0,15.7,Material Shortage,44.3,49,36,0,36,0.57,100.0,73.47,73.83,100.33,74.07,3.09,20.4,1
