Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0028,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,1.45,60.0,24.1,Preventive Maintenance,35.9,87,42,2,40,3.62,95.24,48.28,59.83,80.68,45.97,4.51,20.78,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0029,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.21,60.0,1.1,No Downtime,58.9,73,61,2,59,3.02,96.72,83.56,98.17,85.59,81.27,5.42,25.03,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0030,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.04,60.0,6.2,Power Outage,53.8,62,47,1,46,2.83,97.87,75.81,89.67,84.0,73.72,5.04,20.47,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0028,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,1.45,60.0,0.0,No Downtime,60.0,87,82,2,80,2.94,97.56,94.25,100.0,94.25,91.95,8.47,32.53,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0029,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.21,60.0,2.6,No Downtime,57.4,73,71,3,68,3.82,95.77,97.26,95.67,102.23,93.67,6.8,23.46,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0030,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.04,60.0,0.7,No Downtime,59.3,62,50,1,49,1.25,98.0,80.65,98.83,81.07,78.52,5.04,20.93,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0028,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,1.45,60.0,0.4,No Downtime,59.6,87,73,2,71,2.06,97.26,83.91,99.33,84.47,81.61,8.0,31.77,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0029,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.21,60.0,3.4,No Downtime,56.6,73,62,1,61,1.75,98.39,84.93,94.33,90.53,84.02,6.59,24.92,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0030,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.04,60.0,3.9,No Downtime,56.1,62,53,2,51,3.47,96.23,85.48,93.5,90.84,81.73,5.73,19.19,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Osaka,FCT010,Osaka Soap Plant,LN0028,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Lavender Bar Soap,1.45,60.0,10.8,Changeover/Setup,49.2,87,60,1,59,2.36,98.33,68.97,82.0,84.1,67.81,5.5,31.46,1
