Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,0.97,60.0,3.6,No Downtime,56.4,58,49,2,47,3.72,95.92,84.48,94.0,89.57,80.76,4.4,31.39,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.27,60.0,2.6,No Downtime,57.4,76,63,3,60,4.83,95.24,82.89,95.67,86.42,78.74,5.73,16.71,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0033,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,1.41,60.0,11.5,Changeover/Setup,48.5,85,64,1,63,1.85,98.44,75.29,80.83,93.59,74.47,6.91,27.57,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,0.97,60.0,0.1,No Downtime,59.9,58,52,2,50,4.19,96.15,89.66,99.83,89.5,85.91,5.42,39.69,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.27,60.0,1.8,No Downtime,58.2,76,65,0,65,0.0,100.0,85.53,97.0,87.94,85.3,5.68,14.07,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0033,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,1.41,60.0,25.6,Power Outage,34.4,85,48,1,47,2.6,97.92,56.47,57.33,98.96,55.55,4.26,17.59,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,0.97,60.0,29.5,Preventive Maintenance,30.5,58,29,1,28,2.22,96.55,50.0,50.83,98.02,48.1,3.18,18.94,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.27,60.0,12.9,Changeover/Setup,47.1,76,55,2,53,3.24,96.36,72.37,78.5,91.95,69.55,5.41,13.42,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0033,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,1.41,60.0,30.7,Material Shortage,29.3,85,42,3,39,6.16,92.86,49.41,48.83,101.66,46.1,4.3,15.04,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Sandalwood Bar Soap,0.97,60.0,18.3,Machine Breakdown,41.7,58,36,1,35,2.29,97.22,62.07,69.5,89.0,60.14,3.34,26.99,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Sandalwood Bar Soap,1.27,60.0,1.8,No Downtime,58.2,76,69,2,67,2.94,97.1,90.79,97.0,93.35,87.92,6.22,16.09,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0033,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Aloe Vera Liquid Soap,1.41,60.0,2.7,No Downtime,57.3,85,83,3,80,3.34,96.39,97.65,95.5,102.73,94.57,8.12,31.16,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Sandalwood Bar Soap,0.97,60.0,23.9,Preventive Maintenance,36.1,58,33,0,33,1.23,100.0,56.9,60.17,94.24,56.7,3.1,22.25,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Sandalwood Bar Soap,1.27,60.0,1.2,No Downtime,58.8,76,69,2,67,3.08,97.1,90.79,98.0,92.4,87.93,6.31,16.37,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0033,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Aloe Vera Liquid Soap,1.41,60.0,21.3,Staff Shortage,38.7,85,52,2,50,3.72,96.15,61.18,64.5,95.3,59.1,4.98,21.45,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Sandalwood Bar Soap,0.97,60.0,2.5,No Downtime,57.5,58,48,0,48,0.82,100.0,82.76,95.83,86.06,82.47,5.24,35.28,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Sandalwood Bar Soap,1.27,60.0,22.8,Preventive Maintenance,37.2,76,41,2,39,4.15,95.12,53.95,62.0,86.78,51.18,3.86,9.74,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0033,Line-3,2026-07-01 05:00:00,2026-07-01,5,Night,Aloe Vera Liquid Soap,1.41,60.0,8.5,Changeover/Setup,51.5,85,61,1,60,1.16,98.36,71.76,85.83,84.0,70.91,5.23,27.33,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 06:00:00,2026-07-01,6,Morning,Sandalwood Bar Soap,0.97,60.0,35.6,Machine Breakdown,24.4,58,21,1,20,2.94,95.24,36.21,40.67,88.73,34.37,2.16,16.02,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 06:00:00,2026-07-01,6,Morning,Sandalwood Bar Soap,1.27,60.0,17.3,Changeover/Setup,42.7,76,48,1,47,2.08,97.92,63.16,71.17,88.51,61.68,4.48,12.22,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0033,Line-3,2026-07-01 06:00:00,2026-07-01,6,Morning,Aloe Vera Liquid Soap,1.41,60.0,3.6,No Downtime,56.4,85,69,3,66,3.9,95.65,81.18,94.0,86.77,78.02,7.25,28.38,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 07:00:00,2026-07-01,7,Morning,Sandalwood Bar Soap,0.97,60.0,24.0,Power Outage,36.0,58,30,1,29,2.32,96.67,51.72,60.0,85.91,49.83,3.12,19.77,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 07:00:00,2026-07-01,7,Morning,Sandalwood Bar Soap,1.27,60.0,3.0,No Downtime,57.0,76,60,3,57,5.44,95.0,78.95,95.0,82.88,74.8,5.84,16.3,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0033,Line-3,2026-07-01 07:00:00,2026-07-01,7,Morning,Aloe Vera Liquid Soap,1.41,60.0,43.7,Machine Breakdown,16.3,85,23,1,22,3.82,95.65,27.06,27.17,100.07,26.01,2.44,9.49,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 08:00:00,2026-07-01,8,Morning,Sandalwood Bar Soap,0.97,60.0,15.4,Changeover/Setup,44.6,58,42,1,41,2.82,97.62,72.41,74.33,97.08,70.44,4.47,25.98,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 08:00:00,2026-07-01,8,Morning,Sandalwood Bar Soap,1.27,60.0,13.1,Material Shortage,46.9,76,52,2,50,3.68,96.15,68.42,78.17,87.3,65.62,4.52,13.36,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0033,Line-3,2026-07-01 08:00:00,2026-07-01,8,Morning,Aloe Vera Liquid Soap,1.41,60.0,5.4,Changeover/Setup,54.6,85,76,2,74,3.1,97.37,89.41,91.0,98.72,87.47,8.29,32.4,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0031,Line-1,2026-07-01 09:00:00,2026-07-01,9,Morning,Sandalwood Bar Soap,0.97,60.0,9.6,Changeover/Setup,50.4,58,44,1,43,2.28,97.73,75.86,84.0,90.0,73.88,3.76,31.86,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Nagoya,FCT011,Nagoya Soap Plant,LN0032,Line-2,2026-07-01 09:00:00,2026-07-01,9,Morning,Sandalwood Bar Soap,1.27,60.0,10.1,Material Shortage,49.9,76,56,2,54,4.09,96.43,73.68,83.17,88.37,70.87,5.22,13.6,2
