Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0034,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,0.87,60.0,12.1,Material Shortage,47.9,52,43,1,42,3.37,97.67,82.69,79.83,103.18,80.45,3.98,15.41,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0035,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.09,60.0,9.1,Changeover/Setup,50.9,65,54,2,52,3.72,96.3,83.08,84.83,97.33,79.51,5.23,22.21,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0036,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,0.98,60.0,26.4,Material Shortage,33.6,59,32,1,31,3.43,96.88,54.24,56.0,97.18,52.72,3.03,17.0,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0034,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,0.87,60.0,3.4,No Downtime,56.6,52,47,1,46,1.65,97.87,90.38,94.33,95.45,88.12,4.29,18.47,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0035,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.09,60.0,3.1,No Downtime,56.9,65,61,2,59,2.48,96.72,93.85,94.83,98.35,90.21,5.66,26.26,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0036,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,0.98,60.0,36.5,Machine Breakdown,23.5,59,20,1,19,2.72,95.0,33.9,39.17,86.84,32.31,2.02,10.96,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0034,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,0.87,60.0,15.1,Changeover/Setup,44.9,52,37,2,35,6.73,94.59,71.15,74.83,94.72,67.04,3.29,13.41,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0035,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.09,60.0,2.2,No Downtime,57.8,65,51,3,48,5.15,94.12,78.46,96.33,80.95,73.39,5.41,27.21,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0036,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,0.98,60.0,0.7,No Downtime,59.3,59,50,2,48,3.11,96.0,84.75,98.83,86.04,81.63,4.75,31.61,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Asia,Japan,Fukuoka,FCT012,Fukuoka Soap Plant,LN0034,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Neem Bar Soap,0.87,60.0,3.1,No Downtime,56.9,52,46,1,45,1.76,97.83,88.46,94.83,92.92,86.2,5.02,17.22,3
