Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0037,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,1.48,60.0,34.4,Material Shortage,25.6,89,33,1,32,2.63,96.97,37.08,42.67,87.1,36.04,2.93,17.35,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0038,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.19,60.0,5.5,Quality Hold,54.5,71,65,4,61,6.22,93.85,91.55,90.83,100.22,85.43,6.13,15.74,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0039,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,1.5,60.0,2.0,No Downtime,58.0,90,71,4,67,5.56,94.37,78.89,96.67,81.61,74.45,6.93,17.66,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0037,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,1.48,60.0,8.3,Staff Shortage,51.7,89,66,2,64,3.07,96.97,74.16,86.17,86.26,72.08,6.56,33.04,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0038,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.19,60.0,17.8,Changeover/Setup,42.2,71,48,1,47,2.67,97.92,67.61,70.33,95.58,65.82,4.7,11.47,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0039,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,1.5,60.0,18.5,Machine Breakdown,41.5,90,58,3,55,4.65,94.83,64.44,69.17,93.17,61.11,5.33,14.31,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0037,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,1.48,60.0,3.3,No Downtime,56.7,89,72,2,70,3.12,97.22,80.9,94.5,85.8,78.83,6.57,35.92,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0038,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.19,60.0,15.3,Preventive Maintenance,44.7,71,47,2,45,4.23,95.74,66.2,74.5,88.36,63.02,4.92,13.64,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0039,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,1.5,60.0,40.1,Machine Breakdown,19.9,90,25,1,24,3.77,96.0,27.78,33.17,83.75,26.67,2.58,5.79,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Chicago,FCT013,Chicago Soap Plant,LN0037,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Rose Bar Soap,1.48,60.0,28.9,Machine Breakdown,31.1,89,40,1,39,1.93,97.5,44.94,51.83,86.9,43.91,3.59,20.99,1
