Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0040,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.58,60.0,0.1,No Downtime,59.9,95,82,5,77,5.95,93.9,86.32,99.83,86.64,81.22,7.03,34.9,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0041,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,1.43,60.0,0.7,No Downtime,59.3,86,87,3,84,3.3,96.55,101.16,98.83,102.6,97.9,8.35,33.11,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0042,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,0.95,60.0,38.2,Machine Breakdown,21.8,57,19,0,19,0.8,100.0,33.33,36.33,91.74,33.33,1.96,11.75,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0040,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.58,60.0,8.6,Power Outage,51.4,95,68,2,66,2.3,97.06,71.58,85.67,83.73,69.62,6.28,30.23,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0041,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,1.43,60.0,11.7,Quality Hold,48.3,86,59,4,55,7.51,93.22,68.6,80.5,85.42,64.1,6.39,30.14,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0042,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,0.95,60.0,16.0,Preventive Maintenance,44.0,57,41,1,40,2.96,97.56,71.93,73.33,98.09,70.17,3.99,22.54,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0040,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.58,60.0,14.8,Changeover/Setup,45.2,95,70,1,69,1.52,98.57,73.68,75.33,98.02,72.78,7.66,28.02,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0041,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,1.43,60.0,35.6,Preventive Maintenance,24.4,86,28,1,27,2.95,96.43,32.56,40.67,80.25,31.47,2.6,13.3,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0042,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,0.95,60.0,11.4,Material Shortage,48.6,57,38,2,36,4.43,94.74,66.67,81.0,82.3,63.16,3.24,26.34,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0040,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Sandalwood Bar Soap,1.58,60.0,1.7,No Downtime,58.3,95,82,2,80,2.48,97.56,86.32,97.17,89.02,84.39,7.96,37.09,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0041,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Rose Bar Soap,1.43,60.0,40.0,Machine Breakdown,20.0,86,28,1,27,2.27,96.43,32.56,33.33,97.9,31.47,2.77,11.77,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Dallas,FCT014,Dallas Soap Plant,LN0042,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,0.95,60.0,11.4,Quality Hold,48.6,57,44,3,41,7.46,93.18,77.19,81.0,95.3,71.93,4.72,24.54,2
