Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0043,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.13,60.0,25.9,Material Shortage,34.1,68,38,1,37,2.3,97.37,55.88,56.83,98.62,54.57,3.98,9.89,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0044,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,1.07,60.0,1.5,No Downtime,58.5,64,58,3,55,5.33,94.83,90.62,97.5,92.66,85.67,6.27,34.61,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0045,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,1.15,60.0,28.1,Material Shortage,31.9,69,32,2,30,4.93,93.75,46.38,53.17,87.23,43.48,3.39,8.21,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0043,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.13,60.0,2.6,No Downtime,57.4,68,65,2,63,2.91,96.92,95.59,95.67,100.21,92.92,7.02,16.93,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0044,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,1.07,60.0,31.7,Material Shortage,28.3,64,25,1,24,2.61,96.0,39.06,47.17,82.56,37.39,2.25,17.89,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0045,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,1.15,60.0,0.8,No Downtime,59.2,69,65,2,63,2.65,96.92,94.2,98.67,95.48,91.31,7.09,17.4,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0043,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.13,60.0,1.3,No Downtime,58.7,68,63,2,61,3.72,96.83,92.65,97.83,94.98,89.97,5.43,19.01,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0044,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,1.07,60.0,1.2,No Downtime,58.8,64,52,2,50,4.45,96.15,81.25,98.0,82.65,77.88,5.48,36.52,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0045,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,1.15,60.0,29.0,Material Shortage,31.0,69,33,2,31,5.61,93.94,47.83,51.67,92.57,44.93,3.32,8.93,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0043,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.13,60.0,3.4,No Downtime,56.6,68,58,2,56,4.11,96.55,85.29,94.33,90.68,82.59,6.03,19.59,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0044,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Aloe Vera Liquid Soap,1.07,60.0,17.5,Material Shortage,42.5,64,39,1,38,2.86,97.44,60.94,70.83,85.76,59.19,3.98,28.04,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0045,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Coconut Bar Soap,1.15,60.0,3.7,No Downtime,56.3,69,53,2,51,4.69,96.23,76.81,93.83,81.86,73.91,5.02,16.63,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0043,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.13,60.0,0.2,No Downtime,59.8,68,69,0,69,0.29,100.0,101.47,99.67,102.11,101.77,7.25,19.86,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0044,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Aloe Vera Liquid Soap,1.07,60.0,0.3,No Downtime,59.7,64,60,2,58,3.1,96.67,93.75,99.5,93.93,90.35,5.59,35.24,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Atlanta,FCT015,Atlanta Soap Plant,LN0045,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Coconut Bar Soap,1.15,60.0,0.4,No Downtime,59.6,69,69,2,67,2.31,97.1,100.0,99.33,100.67,97.1,7.38,17.2,3
