Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0046,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.03,60.0,13.7,Changeover/Setup,46.3,62,41,1,40,2.76,97.56,66.13,77.17,85.97,64.72,4.35,16.32,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0047,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,1.48,60.0,34.3,Preventive Maintenance,25.7,89,31,1,30,4.43,96.77,34.83,42.83,81.5,33.78,2.69,7.11,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0048,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,0.93,60.0,18.9,Changeover/Setup,41.1,56,38,1,37,2.94,97.37,67.86,68.5,99.42,66.31,4.02,15.5,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0046,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.03,60.0,15.5,Power Outage,44.5,62,42,1,41,2.23,97.62,67.74,74.17,91.63,66.34,4.42,14.5,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0047,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,1.48,60.0,2.1,No Downtime,57.9,89,80,2,78,3.1,97.5,89.89,96.5,93.36,87.84,8.42,14.97,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0048,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,0.93,60.0,15.4,Changeover/Setup,44.6,56,40,1,39,2.49,97.5,71.43,74.33,96.44,69.89,3.86,17.16,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0046,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.03,60.0,3.1,No Downtime,56.9,62,53,0,53,0.77,100.0,85.48,94.83,90.43,85.75,5.82,20.94,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0047,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,1.48,60.0,8.7,Changeover/Setup,51.3,89,61,1,60,2.07,98.36,68.54,85.5,80.34,67.56,5.36,12.64,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0048,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,0.93,60.0,7.7,Changeover/Setup,52.3,56,41,1,40,1.98,97.56,73.21,87.17,84.29,71.68,4.42,22.98,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),USA,Los Angeles,FCT016,Los Angeles Soap Plant,LN0046,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Neem Bar Soap,1.03,60.0,10.2,Power Outage,49.8,62,50,2,48,4.57,96.0,80.65,83.0,97.48,77.67,4.82,17.23,2
