Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0049,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,0.84,60.0,19.7,Power Outage,40.3,50,28,1,27,4.55,96.43,56.0,67.17,82.71,53.57,2.66,21.33,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0050,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,0.93,60.0,2.5,No Downtime,57.5,56,52,0,52,0.93,100.0,92.86,95.83,97.24,93.19,4.63,26.36,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0051,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,0.99,60.0,6.1,Changeover/Setup,53.9,59,48,1,47,2.2,97.92,81.36,89.83,89.95,79.12,4.55,36.58,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0049,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,0.84,60.0,17.3,Quality Hold,42.7,50,32,2,30,6.19,93.75,64.0,71.17,89.22,59.53,3.04,25.05,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0050,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,0.93,60.0,19.5,Staff Shortage,40.5,56,38,1,37,3.21,97.37,67.86,67.5,100.89,66.31,3.29,16.72,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0051,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,0.99,60.0,3.1,No Downtime,56.9,59,50,0,50,0.0,100.0,84.75,94.83,88.76,84.17,5.26,33.7,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0049,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,0.84,60.0,9.3,Changeover/Setup,50.7,50,43,1,42,3.37,97.67,86.0,84.5,100.97,83.33,4.56,30.3,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0050,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,0.93,60.0,42.4,Machine Breakdown,17.6,56,14,1,13,3.59,92.86,25.0,29.33,85.53,23.29,1.38,8.07,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0051,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,0.99,60.0,0.4,No Downtime,59.6,59,52,2,50,4.29,96.15,88.14,99.33,88.13,84.17,5.67,40.47,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0049,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Neem Bar Soap,0.84,60.0,22.0,Material Shortage,38.0,50,28,1,27,3.38,96.43,56.0,63.33,87.72,53.57,3.03,20.21,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0050,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Lavender Bar Soap,0.93,60.0,16.7,Staff Shortage,43.3,56,37,0,37,1.06,100.0,66.07,72.17,91.88,66.31,3.26,16.72,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0051,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Coconut Bar Soap,0.99,60.0,28.7,Material Shortage,31.3,59,26,1,25,3.52,96.15,44.07,52.17,83.91,42.09,2.69,19.79,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0049,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Neem Bar Soap,0.84,60.0,2.5,No Downtime,57.5,50,43,1,42,1.83,97.67,86.0,95.83,89.03,83.33,4.39,31.78,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Toronto,FCT017,Toronto Soap Plant,LN0050,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Lavender Bar Soap,0.93,60.0,3.1,No Downtime,56.9,56,43,1,42,2.26,97.67,76.79,94.83,81.26,75.26,3.74,22.47,2
