Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0052,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,0.96,60.0,1.5,No Downtime,58.5,58,50,2,48,3.3,96.0,86.21,97.5,89.03,83.33,4.67,18.23,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0053,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,1.07,60.0,1.6,No Downtime,58.4,64,53,3,50,5.04,94.34,82.81,97.33,84.82,77.88,5.04,18.47,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0054,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.2,60.0,6.9,Changeover/Setup,53.1,72,59,2,57,3.8,96.61,81.94,88.5,92.59,79.16,6.17,24.96,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0052,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,0.96,60.0,37.7,Preventive Maintenance,22.3,58,19,1,18,2.67,94.74,32.76,37.17,88.75,31.25,1.67,7.44,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0053,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,1.07,60.0,21.9,Material Shortage,38.1,64,40,1,39,3.25,97.5,62.5,63.5,98.12,60.75,3.77,12.91,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0054,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.2,60.0,0.3,No Downtime,59.7,72,61,2,59,3.91,96.72,84.72,99.5,85.15,81.95,6.25,28.05,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0052,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,0.96,60.0,7.0,Power Outage,53.0,58,47,1,46,2.77,97.87,81.03,88.33,92.37,79.85,4.36,18.56,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0053,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,1.07,60.0,1.7,No Downtime,58.3,64,50,1,49,2.04,98.0,78.12,97.17,80.15,76.32,4.62,17.83,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0054,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.2,60.0,16.4,Material Shortage,43.6,72,52,3,49,5.5,94.23,72.22,72.67,99.39,68.06,4.61,20.59,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0052,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,0.96,60.0,20.9,Material Shortage,39.1,58,36,2,34,4.46,94.44,62.07,65.17,95.91,59.03,3.38,11.83,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0053,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Rose Bar Soap,1.07,60.0,16.8,Preventive Maintenance,43.2,64,46,2,44,5.2,95.65,71.88,72.0,99.52,68.54,4.13,14.53,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0054,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,1.2,60.0,11.7,Material Shortage,48.3,72,51,2,49,4.24,96.08,70.83,80.5,87.99,68.06,4.34,24.14,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Vancouver,FCT018,Vancouver Soap Plant,LN0052,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Lemon Bar Soap,0.96,60.0,2.0,No Downtime,58.0,58,45,2,43,3.38,95.56,77.59,96.67,80.82,74.66,4.44,19.13,1
