Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0055,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,0.98,60.0,31.6,Machine Breakdown,28.4,59,28,1,27,3.24,96.43,47.46,47.33,100.6,45.91,3.08,7.85,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0056,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,1.36,60.0,3.7,No Downtime,56.3,82,78,1,77,1.08,98.72,95.12,93.83,101.87,94.36,8.17,37.63,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0057,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.31,60.0,2.5,No Downtime,57.5,79,62,2,60,3.84,96.77,78.48,95.83,82.31,76.33,6.59,35.8,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0055,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,0.98,60.0,1.0,No Downtime,59.0,59,48,1,47,2.75,97.92,81.36,98.33,83.02,79.94,4.49,13.9,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0056,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,1.36,60.0,8.0,Quality Hold,52.0,82,70,7,63,9.48,90.0,85.37,86.67,98.98,77.21,6.71,31.69,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0057,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.31,60.0,32.7,Preventive Maintenance,27.3,79,36,0,36,0.83,100.0,45.57,45.5,100.66,45.8,3.66,16.31,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0055,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,0.98,60.0,15.3,Changeover/Setup,44.7,59,42,1,41,2.73,97.62,71.19,74.5,95.88,69.73,4.21,10.57,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0056,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,1.36,60.0,0.5,No Downtime,59.5,82,75,1,74,1.98,98.67,91.46,99.17,92.68,90.69,6.71,34.54,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0057,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.31,60.0,1.2,No Downtime,58.8,79,77,2,75,3.18,97.4,97.47,98.0,99.96,95.41,8.18,32.09,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Montreal,FCT019,Montreal Soap Plant,LN0055,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Coconut Bar Soap,0.98,60.0,0.3,No Downtime,59.7,59,55,2,53,2.95,96.36,93.22,99.5,94.01,90.14,4.71,14.61,2
