Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0058,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.05,60.0,1.4,No Downtime,58.6,63,55,2,53,4.45,96.36,87.3,97.67,89.39,84.13,4.75,18.81,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0059,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,0.96,60.0,32.9,Machine Breakdown,27.1,58,22,1,21,4.93,95.45,37.93,45.17,84.56,36.46,2.41,11.49,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0060,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.63,60.0,29.3,Machine Breakdown,30.7,98,42,1,41,2.97,97.62,42.86,51.17,83.93,41.92,4.26,10.4,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0058,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.05,60.0,2.4,No Downtime,57.6,63,59,3,56,5.1,94.92,93.65,96.0,97.55,88.89,5.98,17.94,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0059,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,0.96,60.0,2.1,No Downtime,57.9,58,46,0,46,1.04,100.0,79.31,96.5,82.76,79.86,4.86,26.64,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0060,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.63,60.0,0.2,No Downtime,59.8,98,90,4,86,3.91,95.56,91.84,99.67,92.33,87.94,8.96,21.01,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0058,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.05,60.0,20.2,Machine Breakdown,39.8,63,34,0,34,1.46,100.0,53.97,66.33,81.36,53.97,3.59,11.55,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0059,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,0.96,60.0,44.2,Machine Breakdown,15.8,58,14,0,14,3.12,100.0,24.14,26.33,92.3,24.3,1.48,7.76,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0060,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.63,60.0,7.4,Changeover/Setup,52.6,98,73,3,70,4.6,95.89,74.49,87.67,85.14,71.57,7.13,15.76,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0058,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.05,60.0,15.5,Material Shortage,44.5,63,39,1,38,1.41,97.44,61.9,74.17,83.47,60.32,3.85,13.7,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0059,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Aloe Vera Liquid Soap,0.96,60.0,3.6,No Downtime,56.4,58,52,2,50,4.11,96.15,89.66,94.0,96.04,86.8,4.88,26.4,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0060,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.63,60.0,5.5,Changeover/Setup,54.5,98,74,2,72,2.48,97.3,75.51,90.83,83.3,73.62,7.1,19.32,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0058,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.05,60.0,15.8,Material Shortage,44.2,63,43,2,41,4.31,95.35,68.25,73.67,92.65,65.08,4.6,13.87,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0059,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Aloe Vera Liquid Soap,0.96,60.0,3.8,No Downtime,56.2,58,53,2,51,3.1,96.23,91.38,93.67,98.24,88.55,4.99,25.79,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Canada,Calgary,FCT020,Calgary Soap Plant,LN0060,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.63,60.0,8.3,Quality Hold,51.7,98,70,7,63,9.78,90.0,71.43,86.17,83.07,64.42,7.06,18.54,1
