Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0061,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,0.87,60.0,24.5,Preventive Maintenance,35.5,52,28,1,27,4.74,96.43,53.85,59.17,90.66,51.73,2.75,9.45,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0062,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.59,60.0,43.3,Machine Breakdown,16.7,95,24,1,23,3.48,95.83,25.26,27.83,90.39,24.11,2.16,8.28,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0063,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,0.81,60.0,13.3,Changeover/Setup,46.7,49,32,1,31,2.2,96.88,65.31,77.83,84.6,63.79,2.99,23.65,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0061,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,0.87,60.0,14.3,Changeover/Setup,45.7,52,32,1,31,4.46,96.88,61.54,76.17,80.48,59.39,3.47,11.67,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0062,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.59,60.0,28.5,Material Shortage,31.5,95,42,1,41,3.02,97.62,44.21,52.5,83.86,42.98,3.75,15.8,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0063,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,0.81,60.0,33.4,Material Shortage,26.6,49,19,1,18,5.37,94.74,38.78,44.33,88.18,37.03,2.0,11.07,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0061,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,0.87,60.0,19.0,Quality Hold,41.0,52,31,3,28,8.96,90.32,59.62,68.33,86.91,53.64,2.97,11.84,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0062,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.59,60.0,16.9,Staff Shortage,43.1,95,66,1,65,1.44,98.48,69.47,71.83,96.31,68.13,6.04,22.57,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0063,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,0.81,60.0,1.8,No Downtime,58.2,49,39,1,38,3.44,97.44,79.59,97.0,82.73,78.19,3.67,28.35,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Monterrey,FCT021,Monterrey Soap Plant,LN0061,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Rose Bar Soap,0.87,60.0,3.6,No Downtime,56.4,52,46,2,44,3.31,95.65,88.46,94.0,93.75,84.29,4.12,14.77,3
