Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0064,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,1.13,60.0,17.6,Machine Breakdown,42.4,68,47,2,45,4.09,95.74,69.12,70.67,98.1,66.37,4.84,28.14,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0065,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,0.99,60.0,0.8,No Downtime,59.2,59,49,1,48,1.73,97.96,83.05,98.67,83.61,80.82,4.65,15.54,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0066,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,0.71,60.0,1.3,No Downtime,58.7,43,42,2,40,4.38,95.24,97.67,97.83,100.78,93.9,4.06,39.21,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0064,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,1.13,60.0,34.5,Material Shortage,25.5,68,25,1,24,4.04,96.0,36.76,42.5,86.76,35.4,2.55,17.31,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0065,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,0.99,60.0,1.4,No Downtime,58.6,59,50,1,49,2.76,98.0,84.75,97.67,86.19,82.5,4.41,16.61,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0066,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,0.71,60.0,2.2,No Downtime,57.8,43,38,2,36,5.17,94.74,88.37,96.33,92.6,84.51,3.37,36.44,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0064,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,1.13,60.0,0.5,No Downtime,59.5,68,58,1,57,1.12,98.28,85.29,99.17,86.26,84.07,5.78,38.14,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0065,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,0.99,60.0,38.0,Preventive Maintenance,22.0,59,21,1,20,3.4,95.24,35.59,36.67,96.42,33.67,1.98,5.71,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0066,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,0.71,60.0,0.8,No Downtime,59.2,43,40,2,38,4.55,95.0,93.02,98.67,95.17,89.21,3.72,35.37,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0064,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Aloe Vera Liquid Soap,1.13,60.0,1.7,No Downtime,58.3,68,68,3,65,4.96,95.59,100.0,97.17,103.22,95.88,5.82,40.37,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0065,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,0.99,60.0,11.0,Changeover/Setup,49.0,59,48,2,46,3.92,95.83,81.36,81.67,98.95,77.44,4.66,12.83,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0066,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Coconut Bar Soap,0.71,60.0,3.7,No Downtime,56.3,43,40,2,38,4.57,95.0,93.02,93.83,100.07,89.2,3.71,34.99,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0064,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Aloe Vera Liquid Soap,1.13,60.0,1.1,No Downtime,58.9,68,57,3,54,5.87,94.74,83.82,98.17,85.64,79.65,5.45,35.74,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0065,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,0.99,60.0,2.5,No Downtime,57.5,59,58,1,57,2.46,98.28,98.31,95.83,101.89,95.96,5.61,14.09,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Guadalajara,FCT022,Guadalajara Soap Plant,LN0066,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Coconut Bar Soap,0.71,60.0,1.9,No Downtime,58.1,43,41,2,39,3.72,95.12,95.35,96.83,99.39,91.54,4.39,35.63,3
