Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0067,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.14,60.0,3.5,No Downtime,56.5,68,64,2,62,3.0,96.88,94.12,94.17,99.36,90.65,6.88,28.43,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0068,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,1.19,60.0,32.9,Material Shortage,27.1,71,31,0,31,1.4,100.0,43.66,45.17,96.13,43.42,2.88,15.41,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0069,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.47,60.0,1.7,No Downtime,58.3,88,75,2,73,2.11,97.33,85.23,97.17,87.51,82.76,7.75,13.45,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0067,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.14,60.0,3.9,No Downtime,56.1,68,53,2,51,3.83,96.23,77.94,93.5,82.87,74.56,5.02,25.74,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0068,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,1.19,60.0,1.2,No Downtime,58.8,71,59,1,58,0.94,98.31,83.1,98.0,84.32,81.24,6.23,35.8,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0069,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.47,60.0,3.0,No Downtime,57.0,88,80,4,76,4.93,95.0,90.91,95.0,95.48,86.17,7.21,14.8,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0067,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.14,60.0,16.9,Material Shortage,43.1,68,47,3,44,5.97,93.62,69.12,71.83,95.66,64.33,4.06,22.94,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0068,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,1.19,60.0,16.9,Quality Hold,43.1,71,47,4,43,8.61,91.49,66.2,71.83,91.64,60.22,5.06,22.78,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0069,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.47,60.0,37.9,Machine Breakdown,22.1,88,26,0,26,1.29,100.0,29.55,36.83,80.03,29.48,2.64,5.81,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Mexico City,FCT023,Mexico City Soap Plant,LN0067,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,1.14,60.0,7.1,Quality Hold,52.9,68,50,3,47,6.95,94.0,73.53,88.17,82.91,68.72,4.9,26.27,3
