Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.56,60.0,3.9,No Downtime,56.1,94,75,2,73,2.54,97.33,79.79,93.5,85.7,77.99,6.47,34.08,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.69,60.0,21.1,Power Outage,38.9,101,64,2,62,3.14,96.88,63.37,64.83,97.35,61.14,6.42,21.11,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.28,60.0,3.9,No Downtime,56.1,77,72,2,70,2.56,97.22,93.51,93.5,100.27,91.15,7.39,14.79,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.56,60.0,0.1,No Downtime,59.9,94,89,4,85,4.04,95.51,94.68,99.83,95.24,90.81,9.51,35.18,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.69,60.0,25.5,Material Shortage,34.5,101,52,2,50,3.62,96.15,51.49,57.5,89.19,49.31,4.48,16.9,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.28,60.0,6.4,Changeover/Setup,53.6,77,55,2,53,3.07,96.36,71.43,89.33,80.17,69.01,4.84,12.46,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.56,60.0,18.3,Changeover/Setup,41.7,94,56,1,55,1.87,98.21,59.57,69.5,86.08,58.75,5.63,26.35,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.69,60.0,14.8,Changeover/Setup,45.2,101,78,4,74,4.66,94.87,77.23,75.33,102.11,72.97,7.84,25.92,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.28,60.0,12.4,Material Shortage,47.6,77,55,2,53,4.46,96.36,71.43,79.33,90.27,69.0,5.18,12.39,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Sandalwood Bar Soap,1.56,60.0,27.0,Machine Breakdown,33.0,94,50,1,49,1.92,98.0,53.19,55.0,97.13,52.35,4.9,19.64,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Neem Bar Soap,1.69,60.0,37.3,Machine Breakdown,22.7,101,38,1,37,2.78,97.37,37.62,37.83,99.05,36.49,3.65,11.85,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.28,60.0,24.6,Staff Shortage,35.4,77,46,1,45,3.11,97.83,59.74,59.0,101.52,58.6,4.18,8.87,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Sandalwood Bar Soap,1.56,60.0,40.2,Machine Breakdown,19.8,94,31,1,30,1.63,96.77,32.98,33.0,100.36,32.05,2.77,11.13,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Neem Bar Soap,1.69,60.0,5.8,Changeover/Setup,54.2,101,76,2,74,2.94,97.37,75.25,90.33,82.97,72.98,7.72,30.75,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.28,60.0,7.7,Changeover/Setup,52.3,77,54,2,52,4.37,96.3,70.13,87.17,80.66,67.71,5.57,13.81,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Sandalwood Bar Soap,1.56,60.0,19.3,Machine Breakdown,40.7,94,59,2,57,3.39,96.61,62.77,67.83,92.93,60.9,6.11,25.39,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Neem Bar Soap,1.69,60.0,1.4,No Downtime,58.6,101,85,2,83,1.98,97.65,84.16,97.67,85.83,81.86,8.23,30.86,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 05:00:00,2026-07-01,5,Night,Charcoal Bar Soap,1.28,60.0,15.4,Material Shortage,44.6,77,53,2,51,2.92,96.23,68.83,74.33,92.84,66.41,5.13,10.77,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 06:00:00,2026-07-01,6,Morning,Sandalwood Bar Soap,1.56,60.0,2.5,No Downtime,57.5,94,73,1,72,1.48,98.63,77.66,95.83,81.38,76.92,7.53,35.18,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 06:00:00,2026-07-01,6,Morning,Neem Bar Soap,1.69,60.0,24.5,Material Shortage,35.5,101,52,2,50,3.85,96.15,51.49,59.17,86.67,49.31,5.41,18.26,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 06:00:00,2026-07-01,6,Morning,Charcoal Bar Soap,1.28,60.0,1.6,No Downtime,58.4,77,62,2,60,3.05,96.77,80.52,97.33,82.94,78.12,6.53,13.53,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 07:00:00,2026-07-01,7,Morning,Sandalwood Bar Soap,1.56,60.0,3.1,No Downtime,56.9,94,80,1,79,1.27,98.75,85.11,94.83,90.13,84.4,8.79,31.09,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 07:00:00,2026-07-01,7,Morning,Neem Bar Soap,1.69,60.0,32.5,Preventive Maintenance,27.5,101,39,1,38,1.33,97.44,38.61,45.83,83.92,37.48,3.55,16.15,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 07:00:00,2026-07-01,7,Morning,Charcoal Bar Soap,1.28,60.0,0.8,No Downtime,59.2,77,65,0,65,0.56,100.0,84.42,98.67,85.78,84.64,6.76,16.44,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 08:00:00,2026-07-01,8,Morning,Sandalwood Bar Soap,1.56,60.0,41.7,Machine Breakdown,18.3,94,27,1,26,3.41,96.3,28.72,30.5,94.58,27.78,2.79,10.6,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 08:00:00,2026-07-01,8,Morning,Neem Bar Soap,1.69,60.0,16.5,Machine Breakdown,43.5,101,62,0,62,0.08,100.0,61.39,72.5,84.34,61.15,5.74,22.72,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 08:00:00,2026-07-01,8,Morning,Charcoal Bar Soap,1.28,60.0,6.0,Changeover/Setup,54.0,77,63,1,62,1.0,98.41,81.82,90.0,91.15,80.73,5.68,15.15,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 09:00:00,2026-07-01,9,Morning,Sandalwood Bar Soap,1.56,60.0,1.9,No Downtime,58.1,94,88,1,87,1.2,98.86,93.62,96.83,97.09,92.94,9.3,36.41,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 09:00:00,2026-07-01,9,Morning,Neem Bar Soap,1.69,60.0,31.1,Material Shortage,28.9,101,41,1,40,3.4,97.56,40.59,48.17,83.95,39.45,4.15,14.26,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0072,Line-3,2026-07-01 09:00:00,2026-07-01,9,Morning,Charcoal Bar Soap,1.28,60.0,14.9,Changeover/Setup,45.1,77,52,1,51,1.08,98.08,67.53,75.17,90.08,66.41,5.38,10.86,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0070,Line-1,2026-07-01 10:00:00,2026-07-01,10,Morning,Sandalwood Bar Soap,1.56,60.0,24.7,Material Shortage,35.3,94,53,2,51,3.18,96.23,56.38,58.83,96.24,54.48,5.56,21.79,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,United States (North America),Mexico,Tijuana,FCT024,Tijuana Soap Plant,LN0071,Line-2,2026-07-01 10:00:00,2026-07-01,10,Morning,Neem Bar Soap,1.69,60.0,1.6,No Downtime,58.4,101,81,2,79,2.16,97.53,80.2,97.33,82.07,77.91,8.71,29.93,3
