Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0073,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.18,60.0,26.7,Material Shortage,33.3,71,40,1,39,2.23,97.5,56.34,55.5,101.8,55.09,3.84,12.19,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0074,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.51,60.0,11.3,Changeover/Setup,48.7,91,65,2,63,3.36,96.92,71.43,81.17,88.39,69.54,6.1,26.69,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0075,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.35,60.0,3.9,No Downtime,56.1,81,78,3,75,3.73,96.15,96.3,93.5,102.99,92.59,8.55,35.89,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0073,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.18,60.0,14.5,Quality Hold,45.5,71,50,6,44,12.17,88.0,70.42,75.83,93.13,62.15,5.44,19.44,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0074,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.51,60.0,5.5,Changeover/Setup,54.5,91,77,3,74,3.57,96.1,84.62,90.83,93.57,81.68,7.6,29.49,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0075,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.35,60.0,16.6,Machine Breakdown,43.4,81,52,2,50,3.02,96.15,64.2,72.33,88.75,61.72,5.27,25.41,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0073,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.18,60.0,32.4,Material Shortage,27.6,71,29,1,28,3.08,96.55,40.85,46.0,89.04,39.55,2.95,11.73,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0074,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.51,60.0,1.8,No Downtime,58.2,91,89,2,87,1.86,97.75,97.8,97.0,101.27,96.02,8.44,29.72,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0075,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.35,60.0,2.0,No Downtime,58.0,81,79,2,77,2.36,97.47,97.53,96.67,100.89,95.06,8.32,36.37,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0073,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,1.18,60.0,40.9,Machine Breakdown,19.1,71,19,0,19,1.27,100.0,26.76,31.83,84.3,26.83,1.77,7.15,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Sydney,FCT025,Sydney Soap Plant,LN0074,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Neem Bar Soap,1.51,60.0,2.4,No Downtime,57.6,91,75,2,73,3.07,97.33,82.42,96.0,86.23,80.57,6.57,29.77,2
