Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0076,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Coconut Bar Soap,1.19,60.0,0.1,No Downtime,59.9,71,70,1,69,1.41,98.57,98.59,99.83,98.2,96.63,7.44,21.88,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0077,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,1.05,60.0,14.8,Machine Breakdown,45.2,63,41,1,40,3.53,97.56,65.08,75.33,86.39,63.49,4.38,14.92,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0078,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Sandalwood Bar Soap,1.22,60.0,21.5,Material Shortage,38.5,73,39,1,38,1.45,97.44,53.42,64.17,83.03,51.92,3.56,10.15,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0076,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Coconut Bar Soap,1.19,60.0,3.3,No Downtime,56.7,71,64,1,63,2.28,98.44,90.14,94.5,94.85,88.23,5.72,22.79,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0077,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,1.05,60.0,41.4,Machine Breakdown,18.6,63,16,0,16,1.5,100.0,25.4,31.0,81.93,25.4,1.61,6.12,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0078,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Sandalwood Bar Soap,1.22,60.0,20.0,Machine Breakdown,40.0,73,42,1,41,1.69,97.62,57.53,66.67,86.07,56.02,4.12,9.38,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0076,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Coconut Bar Soap,1.19,60.0,33.0,Preventive Maintenance,27.0,71,32,1,31,2.63,96.88,45.07,45.0,99.6,43.42,3.09,10.31,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0077,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,1.05,60.0,10.1,Changeover/Setup,49.9,63,48,1,47,2.07,97.92,76.19,83.17,91.61,74.61,4.88,15.09,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0078,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Sandalwood Bar Soap,1.22,60.0,2.8,No Downtime,57.2,73,60,1,59,2.24,98.33,82.19,95.33,85.98,80.6,5.48,15.62,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Melbourne,FCT026,Melbourne Soap Plant,LN0076,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Coconut Bar Soap,1.19,60.0,1.6,No Downtime,58.4,71,68,2,66,3.4,97.06,95.77,97.33,97.85,92.44,6.67,21.08,2
