Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0079,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,1.41,60.0,14.9,Machine Breakdown,45.1,85,53,2,51,3.43,96.23,62.35,75.17,83.35,60.29,4.91,18.15,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0080,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.03,60.0,0.3,No Downtime,59.7,62,49,2,47,3.61,95.92,79.03,99.5,79.69,76.06,4.72,30.21,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0081,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.4,60.0,40.3,Machine Breakdown,19.7,84,27,0,27,1.42,100.0,32.14,32.83,97.9,32.14,2.43,10.78,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0079,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,1.41,60.0,36.2,Machine Breakdown,23.8,85,34,1,33,2.39,97.06,40.0,39.67,101.32,39.01,3.07,9.14,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0080,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.03,60.0,8.9,Staff Shortage,51.1,62,44,2,42,3.49,95.45,70.97,85.17,83.6,67.96,3.82,24.74,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0081,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.4,60.0,3.0,No Downtime,57.0,84,78,2,76,2.73,97.44,92.86,95.0,97.74,90.48,7.2,36.24,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0079,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,1.41,60.0,0.2,No Downtime,59.8,85,86,2,84,1.84,97.67,101.18,99.67,101.99,99.28,7.57,22.61,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0080,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.03,60.0,17.1,Power Outage,42.9,62,45,1,44,1.79,97.78,72.58,71.5,101.84,71.2,4.0,20.56,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0081,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.4,60.0,1.4,No Downtime,58.6,84,83,4,79,5.4,95.18,98.81,97.67,101.17,94.05,8.98,36.85,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Brisbane,FCT027,Brisbane Soap Plant,LN0079,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Aloe Vera Liquid Soap,1.41,60.0,3.3,No Downtime,56.7,85,74,0,74,0.28,100.0,87.06,94.5,92.56,87.47,7.59,21.41,3
