Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0082,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.39,60.0,2.0,No Downtime,58.0,83,66,0,66,0.67,100.0,79.52,96.67,81.87,79.14,7.12,14.67,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0083,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.37,60.0,19.9,Changeover/Setup,40.1,82,50,2,48,4.19,96.0,60.98,66.83,91.01,58.39,5.3,14.78,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0084,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,0.99,60.0,10.0,Power Outage,50.0,59,41,2,39,3.93,95.12,69.49,83.33,82.83,65.65,4.25,31.13,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0082,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.39,60.0,25.4,Power Outage,34.6,83,49,2,47,3.89,95.92,59.04,57.67,101.88,56.36,5.25,9.46,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0083,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.37,60.0,28.9,Machine Breakdown,31.1,82,40,0,40,1.01,100.0,48.78,51.83,93.88,48.66,3.79,12.63,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0084,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,0.99,60.0,2.0,No Downtime,58.0,59,56,1,55,1.66,98.21,94.92,96.67,97.53,92.59,4.89,35.39,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0082,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.39,60.0,11.3,Machine Breakdown,48.7,83,61,1,60,2.36,98.36,73.49,81.17,90.11,71.94,5.74,14.37,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0083,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.37,60.0,2.7,No Downtime,57.3,82,64,2,62,3.34,96.88,78.05,95.5,81.53,75.43,6.55,23.32,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0084,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,0.99,60.0,3.2,No Downtime,56.8,59,51,2,49,4.0,96.08,86.44,94.67,90.7,82.5,4.95,35.91,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0082,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.39,60.0,12.0,Changeover/Setup,48.0,83,53,1,52,1.68,98.11,63.86,80.0,79.44,62.35,4.53,13.15,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0083,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.37,60.0,24.0,Preventive Maintenance,36.0,82,46,1,45,1.46,97.83,56.1,60.0,93.27,54.75,4.38,14.43,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0084,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Rose Bar Soap,0.99,60.0,19.9,Quality Hold,40.1,59,33,2,31,6.13,93.94,55.93,66.83,83.13,52.19,3.28,23.89,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0082,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.39,60.0,34.4,Machine Breakdown,25.6,83,30,2,28,5.38,93.33,36.14,42.67,84.31,33.58,2.79,7.81,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0083,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.37,60.0,14.4,Changeover/Setup,45.6,82,58,2,56,3.4,96.55,70.73,76.0,92.84,68.12,5.66,17.3,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0084,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Rose Bar Soap,0.99,60.0,10.9,Changeover/Setup,49.1,59,44,1,43,2.78,97.73,74.58,81.83,90.52,72.39,3.97,32.22,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0082,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Charcoal Bar Soap,1.39,60.0,2.3,No Downtime,57.7,83,80,3,77,4.2,96.25,96.39,96.17,99.75,92.33,7.44,15.14,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0083,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Charcoal Bar Soap,1.37,60.0,1.3,No Downtime,58.7,82,72,0,72,0.65,100.0,87.8,97.83,89.53,87.59,6.73,21.71,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0084,Line-3,2026-07-01 05:00:00,2026-07-01,5,Night,Rose Bar Soap,0.99,60.0,29.1,Material Shortage,30.9,59,30,1,29,4.26,96.67,50.85,51.5,98.07,48.82,3.08,19.65,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0082,Line-1,2026-07-01 06:00:00,2026-07-01,6,Morning,Charcoal Bar Soap,1.39,60.0,16.2,Changeover/Setup,43.8,83,54,1,53,2.16,98.15,65.06,73.0,88.7,63.55,5.1,11.99,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0083,Line-2,2026-07-01 06:00:00,2026-07-01,6,Morning,Charcoal Bar Soap,1.37,60.0,11.1,Quality Hold,48.9,82,61,5,56,8.88,91.8,74.39,81.5,91.05,68.12,5.58,20.44,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0084,Line-3,2026-07-01 06:00:00,2026-07-01,6,Morning,Rose Bar Soap,0.99,60.0,3.3,No Downtime,56.7,59,57,2,55,3.43,96.49,96.61,94.5,101.54,92.59,6.25,37.09,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0082,Line-1,2026-07-01 07:00:00,2026-07-01,7,Morning,Charcoal Bar Soap,1.39,60.0,16.2,Machine Breakdown,43.8,83,55,2,53,4.36,96.36,66.27,73.0,90.34,63.55,5.51,12.01,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Australia,Perth,FCT028,Perth Soap Plant,LN0083,Line-2,2026-07-01 07:00:00,2026-07-01,7,Morning,Charcoal Bar Soap,1.37,60.0,21.2,Material Shortage,38.8,82,45,1,44,3.18,97.78,54.88,64.67,84.66,53.53,4.55,17.02,3
