Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,1.08,60.0,6.6,Staff Shortage,53.4,65,56,2,54,4.37,96.43,86.15,89.0,97.1,83.33,6.15,15.79,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,1.4,60.0,33.4,Material Shortage,26.6,84,36,2,34,6.59,94.44,42.86,44.33,96.67,40.47,3.67,15.17,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.05,60.0,2.6,No Downtime,57.4,63,55,0,55,0.62,100.0,87.3,95.67,91.26,87.31,5.42,31.79,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,1.08,60.0,18.7,Preventive Maintenance,41.3,65,45,2,43,4.71,95.56,69.23,68.83,100.89,66.36,4.14,10.72,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,1.4,60.0,1.2,No Downtime,58.8,84,84,3,81,3.42,96.43,100.0,98.0,102.04,96.43,8.46,37.54,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.05,60.0,13.3,Changeover/Setup,46.7,63,42,2,40,5.12,95.24,66.67,77.83,85.65,63.49,3.63,25.8,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,1.08,60.0,1.2,No Downtime,58.8,65,58,1,57,2.35,98.28,89.23,98.0,91.33,87.96,6.34,16.98,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,1.4,60.0,23.0,Preventive Maintenance,37.0,84,47,2,45,3.27,95.74,55.95,61.67,90.73,53.57,4.3,21.9,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.05,60.0,8.8,Changeover/Setup,51.2,63,43,1,42,2.61,97.67,68.25,85.33,79.99,66.67,3.8,26.46,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Rose Bar Soap,1.08,60.0,13.4,Material Shortage,46.6,65,46,2,44,4.57,95.65,70.77,77.67,91.4,67.9,3.93,14.27,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Lavender Bar Soap,1.4,60.0,17.9,Quality Hold,42.1,84,55,5,50,9.86,90.91,65.48,70.17,93.32,59.53,6.02,26.08,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,1.05,60.0,14.2,Staff Shortage,45.8,63,48,2,46,4.73,95.83,76.19,76.33,99.81,73.01,4.59,27.85,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Rose Bar Soap,1.08,60.0,2.6,No Downtime,57.4,65,57,2,55,3.15,96.49,87.69,95.67,91.95,84.88,5.92,17.77,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Lavender Bar Soap,1.4,60.0,17.0,Staff Shortage,43.0,84,59,1,58,1.52,98.31,70.24,71.67,98.01,69.06,5.42,27.96,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Lemon Bar Soap,1.05,60.0,39.7,Machine Breakdown,20.3,63,22,1,21,2.48,95.45,34.92,33.83,103.21,33.33,2.08,12.59,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Rose Bar Soap,1.08,60.0,33.2,Material Shortage,26.8,65,25,1,24,2.68,96.0,38.46,44.67,86.37,37.04,2.26,6.89,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Lavender Bar Soap,1.4,60.0,15.3,Quality Hold,44.7,84,60,5,55,7.74,91.67,71.43,74.5,95.88,65.48,6.06,26.99,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 05:00:00,2026-07-01,5,Night,Lemon Bar Soap,1.05,60.0,0.4,No Downtime,59.6,63,53,2,51,3.78,96.23,84.13,99.33,84.69,80.95,4.71,33.52,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 06:00:00,2026-07-01,6,Morning,Rose Bar Soap,1.08,60.0,3.9,No Downtime,56.1,65,60,2,58,3.44,96.67,92.31,93.5,99.03,89.51,5.35,15.87,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 06:00:00,2026-07-01,6,Morning,Lavender Bar Soap,1.4,60.0,3.5,No Downtime,56.5,84,76,3,73,3.89,96.05,90.48,94.17,96.08,86.9,6.98,37.28,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 06:00:00,2026-07-01,6,Morning,Lemon Bar Soap,1.05,60.0,24.5,Power Outage,35.5,63,32,1,31,3.5,96.88,50.79,59.17,85.85,49.21,3.27,19.3,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 07:00:00,2026-07-01,7,Morning,Rose Bar Soap,1.08,60.0,0.5,No Downtime,59.5,65,62,1,61,1.03,98.39,95.38,99.17,96.48,94.14,5.69,16.13,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 07:00:00,2026-07-01,7,Morning,Lavender Bar Soap,1.4,60.0,26.2,Machine Breakdown,33.8,84,48,3,45,5.51,93.75,57.14,56.33,101.44,53.57,4.55,21.58,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 07:00:00,2026-07-01,7,Morning,Lemon Bar Soap,1.05,60.0,2.9,No Downtime,57.1,63,56,3,53,4.56,94.64,88.89,95.17,93.4,84.12,5.17,29.71,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 08:00:00,2026-07-01,8,Morning,Rose Bar Soap,1.08,60.0,39.0,Machine Breakdown,21.0,65,20,1,19,3.93,95.0,30.77,35.0,88.18,29.32,1.91,5.72,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 08:00:00,2026-07-01,8,Morning,Lavender Bar Soap,1.4,60.0,1.6,No Downtime,58.4,84,81,3,78,3.7,96.3,96.43,97.33,99.07,92.86,6.98,32.05,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 08:00:00,2026-07-01,8,Morning,Lemon Bar Soap,1.05,60.0,12.1,Changeover/Setup,47.9,63,41,2,39,3.79,95.12,65.08,79.83,81.52,61.9,4.25,26.64,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 09:00:00,2026-07-01,9,Morning,Rose Bar Soap,1.08,60.0,27.1,Power Outage,32.9,65,32,0,32,1.01,100.0,49.23,54.83,90.06,49.38,2.95,10.22,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 09:00:00,2026-07-01,9,Morning,Lavender Bar Soap,1.4,60.0,2.7,No Downtime,57.3,84,79,3,76,3.38,96.2,94.05,95.5,98.48,90.47,7.11,34.58,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 09:00:00,2026-07-01,9,Morning,Lemon Bar Soap,1.05,60.0,23.8,Machine Breakdown,36.2,63,34,1,33,3.47,97.06,53.97,60.33,89.45,52.38,3.72,20.31,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 10:00:00,2026-07-01,10,Morning,Rose Bar Soap,1.08,60.0,23.1,Material Shortage,36.9,65,35,1,34,4.12,97.14,53.85,61.5,87.82,52.46,3.68,10.53,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 10:00:00,2026-07-01,10,Morning,Lavender Bar Soap,1.4,60.0,20.6,Power Outage,39.4,84,54,2,52,4.48,96.3,64.29,65.67,97.9,61.91,5.44,22.43,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 10:00:00,2026-07-01,10,Morning,Lemon Bar Soap,1.05,60.0,1.9,No Downtime,58.1,63,52,1,51,2.58,98.08,82.54,96.83,85.24,80.95,4.98,35.19,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 11:00:00,2026-07-01,11,Morning,Rose Bar Soap,1.08,60.0,3.8,No Downtime,56.2,65,58,1,57,1.15,98.28,89.23,93.67,95.56,87.97,5.51,14.72,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 11:00:00,2026-07-01,11,Morning,Lavender Bar Soap,1.4,60.0,24.1,Preventive Maintenance,35.9,84,51,0,51,0.17,100.0,60.71,59.83,101.47,60.71,4.84,19.65,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 11:00:00,2026-07-01,11,Morning,Lemon Bar Soap,1.05,60.0,41.9,Machine Breakdown,18.1,63,18,0,18,1.67,100.0,28.57,30.17,94.71,28.57,1.73,9.48,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 12:00:00,2026-07-01,12,Morning,Rose Bar Soap,1.08,60.0,16.0,Changeover/Setup,44.0,65,46,1,45,1.58,97.83,70.77,73.33,96.8,69.44,4.47,12.28,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 12:00:00,2026-07-01,12,Morning,Lavender Bar Soap,1.4,60.0,21.0,Material Shortage,39.0,84,46,2,44,5.04,95.65,54.76,65.0,84.25,52.38,4.8,24.36,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 12:00:00,2026-07-01,12,Morning,Lemon Bar Soap,1.05,60.0,2.5,No Downtime,57.5,63,54,2,52,4.51,96.3,85.71,95.83,89.44,82.54,4.81,35.2,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 13:00:00,2026-07-01,13,Morning,Rose Bar Soap,1.08,60.0,27.8,Material Shortage,32.2,65,34,1,33,2.89,97.06,52.31,53.67,97.77,50.93,3.56,9.44,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 13:00:00,2026-07-01,13,Morning,Lavender Bar Soap,1.4,60.0,27.9,Power Outage,32.1,84,45,1,44,3.04,97.78,53.57,53.5,100.13,52.38,4.92,19.85,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 13:00:00,2026-07-01,13,Morning,Lemon Bar Soap,1.05,60.0,22.1,Staff Shortage,37.9,63,34,2,32,6.54,94.12,53.97,63.17,85.44,50.8,2.9,19.86,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 14:00:00,2026-07-01,14,Afternoon,Rose Bar Soap,1.08,60.0,11.1,Changeover/Setup,48.9,65,45,2,43,3.76,95.56,69.23,81.5,85.21,66.36,4.89,14.9,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 14:00:00,2026-07-01,14,Afternoon,Lavender Bar Soap,1.4,60.0,11.8,Quality Hold,48.2,84,55,5,50,8.29,90.91,65.48,80.33,81.51,59.53,4.85,31.57,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 14:00:00,2026-07-01,14,Afternoon,Lemon Bar Soap,1.05,60.0,16.5,Changeover/Setup,43.5,63,37,1,36,2.47,97.3,58.73,72.5,81.01,57.15,3.66,24.55,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 15:00:00,2026-07-01,15,Afternoon,Rose Bar Soap,1.08,60.0,17.9,Changeover/Setup,42.1,65,44,1,43,2.88,97.73,67.69,70.17,96.77,66.36,4.39,11.91,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 15:00:00,2026-07-01,15,Afternoon,Lavender Bar Soap,1.4,60.0,0.3,No Downtime,59.7,84,76,3,73,3.45,96.05,90.48,99.5,90.93,86.9,7.93,33.88,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 15:00:00,2026-07-01,15,Afternoon,Lemon Bar Soap,1.05,60.0,11.4,Staff Shortage,48.6,63,51,2,49,2.98,96.08,80.95,81.0,99.94,77.78,5.56,25.66,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 16:00:00,2026-07-01,16,Afternoon,Rose Bar Soap,1.08,60.0,24.7,Staff Shortage,35.3,65,38,1,37,3.59,97.37,58.46,58.83,99.67,57.09,3.28,10.0,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0086,Line-2,2026-07-01 16:00:00,2026-07-01,16,Afternoon,Lavender Bar Soap,1.4,60.0,0.2,No Downtime,59.8,84,74,1,73,1.95,98.65,88.1,99.67,88.39,86.91,7.13,38.64,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0087,Line-3,2026-07-01 16:00:00,2026-07-01,16,Afternoon,Lemon Bar Soap,1.05,60.0,32.0,Preventive Maintenance,28.0,63,29,1,28,3.4,96.55,46.03,46.67,98.64,44.45,2.53,16.25,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Auckland,FCT029,Auckland Soap Plant,LN0085,Line-1,2026-07-01 17:00:00,2026-07-01,17,Afternoon,Rose Bar Soap,1.08,60.0,38.3,Preventive Maintenance,21.7,65,23,1,22,2.58,95.65,35.38,36.17,98.14,33.95,2.49,5.61,1
