Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0088,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,1.55,60.0,30.8,Material Shortage,29.2,93,44,0,44,0.78,100.0,47.31,48.67,97.22,47.32,4.13,17.48,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0089,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.49,60.0,7.6,Staff Shortage,52.4,89,74,1,73,0.96,98.65,83.15,87.33,94.78,81.65,6.78,28.61,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0090,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,1.48,60.0,16.9,Preventive Maintenance,43.1,89,60,1,59,1.62,98.33,67.42,71.83,94.06,66.43,6.52,17.22,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0088,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,1.55,60.0,23.9,Preventive Maintenance,36.1,93,47,1,46,1.59,97.87,50.54,60.17,84.0,49.47,4.02,19.46,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0089,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.49,60.0,2.0,No Downtime,58.0,89,83,1,82,1.6,98.8,93.26,96.67,96.04,91.73,7.22,30.57,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0090,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,1.48,60.0,2.3,No Downtime,57.7,89,74,2,72,2.33,97.3,83.15,96.17,86.66,81.09,6.67,24.59,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0088,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,1.55,60.0,1.9,No Downtime,58.1,93,82,4,78,4.62,95.12,88.17,96.83,91.06,83.87,8.75,36.51,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0089,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.49,60.0,3.6,No Downtime,56.4,89,69,0,69,0.32,100.0,77.53,94.0,82.11,77.18,6.96,30.68,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0090,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,1.48,60.0,18.7,Changeover/Setup,41.3,89,63,3,60,4.28,95.24,70.79,68.83,103.07,67.57,6.83,17.58,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Wellington,FCT030,Wellington Soap Plant,LN0088,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Lavender Bar Soap,1.55,60.0,20.0,Machine Breakdown,40.0,93,51,1,50,2.37,98.04,54.84,66.67,82.26,53.77,5.08,25.81,2
