Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0091,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,1.27,60.0,12.3,Quality Hold,47.7,76,60,4,56,7.08,93.33,78.95,79.5,99.04,73.49,5.93,23.6,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0092,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.48,60.0,39.4,Preventive Maintenance,20.6,89,31,1,30,3.78,96.77,34.83,34.33,101.68,33.78,2.8,7.9,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0093,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,0.78,60.0,2.9,No Downtime,57.1,47,42,2,40,5.5,95.24,89.36,95.17,94.3,85.47,3.61,30.75,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0091,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,1.27,60.0,3.7,No Downtime,56.3,76,63,2,61,3.06,96.83,82.89,93.83,88.11,80.05,6.28,27.85,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0092,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.48,60.0,18.5,Changeover/Setup,41.5,89,63,2,61,2.58,96.83,70.79,69.17,102.57,68.7,6.55,14.6,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0093,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,0.78,60.0,11.5,Quality Hold,48.5,47,31,3,28,8.17,90.32,65.96,80.83,81.95,59.83,3.17,26.72,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0091,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,1.27,60.0,2.0,No Downtime,58.0,76,72,3,69,3.64,95.83,94.74,96.67,97.75,90.55,7.77,25.57,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0092,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.48,60.0,7.5,Changeover/Setup,52.5,89,65,2,63,3.64,96.92,73.03,87.5,83.66,70.95,7.14,20.82,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0093,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,0.78,60.0,3.8,No Downtime,56.2,47,42,2,40,3.88,95.24,89.36,93.67,95.81,85.47,4.18,31.24,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0091,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Lavender Bar Soap,1.27,60.0,27.6,Power Outage,32.4,76,36,1,35,3.58,97.22,47.37,54.0,87.49,45.93,3.66,13.91,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0092,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,1.48,60.0,14.9,Changeover/Setup,45.1,89,58,2,56,3.34,96.55,65.17,75.17,86.89,63.06,6.08,15.5,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0093,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Rose Bar Soap,0.78,60.0,30.8,Machine Breakdown,29.2,47,23,0,23,1.49,100.0,48.94,48.67,100.98,49.15,2.46,15.47,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0091,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Lavender Bar Soap,1.27,60.0,1.3,No Downtime,58.7,76,77,4,73,4.94,94.81,101.32,97.83,103.29,95.8,7.11,26.55,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0092,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Lemon Bar Soap,1.48,60.0,3.1,No Downtime,56.9,89,74,3,71,3.73,95.95,83.15,94.83,87.87,79.95,7.3,22.77,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Christchurch,FCT031,Christchurch Soap Plant,LN0093,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Rose Bar Soap,0.78,60.0,34.4,Material Shortage,25.6,47,18,1,17,5.28,94.44,38.3,42.67,90.14,36.32,1.74,12.32,2
