Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0094,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.26,60.0,10.2,Machine Breakdown,49.8,76,61,3,58,4.82,95.08,80.26,83.0,97.21,76.71,5.54,14.24,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0095,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,1.19,60.0,3.8,No Downtime,56.2,71,62,2,60,3.14,96.77,87.32,93.67,92.71,84.04,5.8,16.78,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0096,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.36,60.0,11.9,Machine Breakdown,48.1,82,65,2,63,3.46,96.92,79.27,80.17,99.36,77.2,7.04,23.07,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0094,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.26,60.0,2.8,No Downtime,57.2,76,74,2,72,2.84,97.3,97.37,95.33,102.68,95.24,7.04,16.01,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0095,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,1.19,60.0,0.8,No Downtime,59.2,71,67,4,63,5.25,94.03,94.37,98.67,95.11,88.24,6.43,16.36,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0096,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.36,60.0,39.2,Machine Breakdown,20.8,82,25,1,24,2.98,96.0,30.49,34.67,88.38,29.42,2.64,8.79,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0094,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.26,60.0,6.4,Staff Shortage,53.6,76,69,2,67,2.41,97.1,90.79,89.33,102.17,88.62,7.16,15.39,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0095,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,1.19,60.0,3.1,No Downtime,56.9,71,59,2,57,3.17,96.61,83.1,94.83,87.14,79.83,5.1,16.02,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0096,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.36,60.0,11.8,Quality Hold,48.2,82,55,5,50,9.67,90.91,67.07,80.33,83.9,61.27,5.36,23.12,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,New Zealand,Hamilton,FCT032,Hamilton Soap Plant,LN0094,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Neem Bar Soap,1.26,60.0,15.9,Power Outage,44.1,76,48,2,46,3.4,95.83,63.16,73.5,86.38,60.84,4.81,13.45,1
