Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0097,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.26,60.0,11.3,Changeover/Setup,48.7,76,60,3,57,4.74,95.0,78.95,81.17,97.78,75.4,6.1,14.38,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0098,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.72,60.0,2.4,No Downtime,57.6,103,94,3,91,3.4,96.81,91.26,96.0,94.88,88.18,8.52,31.76,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0099,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.17,60.0,7.9,Changeover/Setup,52.1,70,55,2,53,2.96,96.36,78.57,86.83,90.23,75.49,4.92,24.08,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0097,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.26,60.0,19.0,Power Outage,41.0,76,48,1,47,2.01,97.92,63.16,68.33,92.92,62.17,5.24,11.02,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0098,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.72,60.0,22.2,Machine Breakdown,37.8,103,57,1,56,1.91,98.25,55.34,63.0,87.67,54.27,5.42,20.87,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0099,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.17,60.0,16.3,Machine Breakdown,43.7,70,52,1,51,2.62,98.08,74.29,72.83,101.7,72.65,4.61,19.18,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0097,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.26,60.0,1.6,No Downtime,58.4,76,64,2,62,2.49,96.88,84.21,97.33,86.98,82.02,6.63,18.23,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0098,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.72,60.0,3.1,No Downtime,56.9,103,93,2,91,2.6,97.85,90.29,94.83,95.03,88.18,8.43,31.98,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0099,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.17,60.0,8.9,Changeover/Setup,51.1,70,53,1,52,2.17,98.11,75.71,85.17,88.65,74.08,5.38,22.75,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0097,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.26,60.0,0.6,No Downtime,59.4,76,73,1,72,0.88,98.63,96.05,99.0,97.54,95.24,7.5,19.1,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0098,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Neem Bar Soap,1.72,60.0,33.8,Material Shortage,26.2,103,44,0,44,1.09,100.0,42.72,43.67,97.64,42.64,4.22,14.52,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0099,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.17,60.0,3.1,No Downtime,56.9,70,54,1,53,1.93,98.15,77.14,94.83,81.11,75.49,5.39,26.82,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0097,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.26,60.0,0.8,No Downtime,59.2,76,67,1,66,2.04,98.51,88.16,98.67,89.82,87.3,5.82,18.66,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0098,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Neem Bar Soap,1.72,60.0,3.9,No Downtime,56.1,103,84,1,83,1.31,98.81,81.55,93.5,87.05,80.42,7.54,31.21,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0099,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.17,60.0,18.6,Power Outage,41.4,70,39,1,38,1.54,97.44,55.71,69.0,80.52,54.14,4.11,17.44,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0097,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Charcoal Bar Soap,1.26,60.0,18.3,Material Shortage,41.7,76,46,1,45,2.97,97.83,60.53,69.5,87.55,59.53,4.35,12.69,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0098,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Neem Bar Soap,1.72,60.0,7.7,Power Outage,52.3,103,92,2,90,2.23,97.83,89.32,87.17,102.27,87.21,9.72,28.94,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Suva,FCT033,Suva Soap Plant,LN0099,Line-3,2026-07-01 05:00:00,2026-07-01,5,Night,Charcoal Bar Soap,1.17,60.0,15.9,Material Shortage,44.1,70,48,1,47,2.27,97.92,68.57,73.5,93.03,66.95,4.41,20.04,2
