Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0100,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Neem Bar Soap,1.22,60.0,30.5,Material Shortage,29.5,73,31,1,30,4.21,96.77,42.47,49.17,86.14,40.99,3.19,20.27,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0101,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.4,60.0,13.1,Quality Hold,46.9,84,55,5,50,8.48,90.91,65.48,78.17,83.76,59.52,5.64,15.8,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0102,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Rose Bar Soap,1.24,60.0,24.3,Machine Breakdown,35.7,74,40,1,39,2.33,97.5,54.05,59.5,90.36,52.42,3.71,16.16,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0100,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Neem Bar Soap,1.22,60.0,11.7,Material Shortage,48.3,73,53,2,51,3.83,96.23,72.6,80.5,89.94,69.67,4.52,31.07,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0101,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.4,60.0,17.4,Quality Hold,42.6,84,60,4,56,6.45,93.33,71.43,71.0,100.6,66.66,6.34,16.02,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0102,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Rose Bar Soap,1.24,60.0,21.9,Material Shortage,38.1,74,46,1,45,3.06,97.83,62.16,63.5,97.37,60.49,4.46,16.48,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0100,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Neem Bar Soap,1.22,60.0,1.6,No Downtime,58.4,73,69,2,67,3.35,97.1,94.52,97.33,96.84,91.52,6.64,35.59,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0101,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.4,60.0,0.3,No Downtime,59.7,84,82,5,77,5.57,93.9,97.62,99.5,98.11,91.66,8.1,19.51,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0102,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Rose Bar Soap,1.24,60.0,2.4,No Downtime,57.6,74,63,2,61,2.52,96.83,85.14,96.0,88.21,82.0,5.52,25.2,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Nadi,FCT034,Nadi Soap Plant,LN0100,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Neem Bar Soap,1.22,60.0,22.5,Power Outage,37.5,73,46,1,45,1.94,97.83,63.01,62.5,100.55,61.48,4.91,21.92,1
