Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0103,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.04,60.0,19.8,Machine Breakdown,40.2,62,39,1,38,2.44,97.44,62.9,67.0,93.28,60.9,3.9,24.63,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0104,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Lemon Bar Soap,1.24,60.0,2.7,No Downtime,57.3,74,59,2,57,2.72,96.61,79.73,95.5,83.04,76.61,5.52,23.11,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0105,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.08,60.0,19.9,Staff Shortage,40.1,65,38,2,36,4.52,94.74,58.46,66.83,87.74,55.55,3.93,13.96,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0103,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.04,60.0,32.0,Machine Breakdown,28.0,62,27,1,26,3.76,96.3,43.55,46.67,92.72,41.67,2.76,18.15,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0104,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Lemon Bar Soap,1.24,60.0,43.0,Machine Breakdown,17.0,74,21,1,20,2.63,95.24,28.38,28.33,99.62,26.88,2.31,6.82,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0105,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.08,60.0,23.6,Machine Breakdown,36.4,65,39,1,38,2.71,97.44,60.0,60.67,99.21,58.65,3.88,12.89,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0103,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.04,60.0,14.7,Power Outage,45.3,62,42,2,40,3.87,95.24,67.74,75.5,89.15,64.1,3.66,24.94,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0104,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Lemon Bar Soap,1.24,60.0,3.8,No Downtime,56.2,74,57,2,55,3.55,96.49,77.03,93.67,81.79,73.92,5.85,22.73,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0105,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.08,60.0,7.2,Quality Hold,52.8,65,48,4,44,8.32,91.67,73.85,88.0,84.18,67.91,4.79,18.35,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0103,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.04,60.0,8.7,Power Outage,51.3,62,55,1,54,2.54,98.18,88.71,85.5,103.09,86.54,4.69,28.13,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0104,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Lemon Bar Soap,1.24,60.0,3.2,No Downtime,56.8,74,59,0,59,0.29,100.0,79.73,94.67,83.77,79.31,5.31,21.61,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Lautoka,FCT035,Lautoka Soap Plant,LN0105,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.08,60.0,13.9,Changeover/Setup,46.1,65,43,2,41,4.14,95.35,66.15,76.83,86.37,63.27,4.13,16.47,1
