Company,Global_Head,Continent,Country,City,Factory_ID,Factory_Name,Production_Line_ID,Production_Line_Name,Timestamp,Date,Hour_of_Day,Shift,Product_SKU,Rated_Speed_Units_per_Min,Planned_Runtime_Minutes,Downtime_Minutes,Downtime_Reason,Actual_Runtime_Minutes,Planned_Target_Units,Actual_Units_Produced,Rejected_Units,Good_Units,Defect_Rate_Percent,Quality_Score_Percent,Production_Attainment_Percent,Availability_Percent,Performance_Percent,OEE_Percent,Raw_Material_Consumed_Kg,Energy_Consumed_kWh,Operator_Count
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0106,Line-1,2026-07-01 00:00:00,2026-07-01,0,Night,Charcoal Bar Soap,1.5,60.0,3.7,No Downtime,56.3,90,71,4,67,5.46,94.37,78.89,93.83,84.07,74.44,7.26,18.26,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0107,Line-2,2026-07-01 00:00:00,2026-07-01,0,Night,Lavender Bar Soap,0.78,60.0,10.9,Machine Breakdown,49.1,47,38,2,36,5.96,94.74,80.85,81.83,99.22,76.92,3.75,13.4,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0108,Line-3,2026-07-01 00:00:00,2026-07-01,0,Night,Aloe Vera Liquid Soap,0.86,60.0,22.8,Machine Breakdown,37.2,52,28,0,28,1.07,100.0,53.85,62.0,87.52,54.26,2.91,11.05,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0106,Line-1,2026-07-01 01:00:00,2026-07-01,1,Night,Charcoal Bar Soap,1.5,60.0,35.5,Machine Breakdown,24.5,90,34,1,33,2.78,97.06,37.78,40.83,92.52,36.67,2.94,8.6,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0107,Line-2,2026-07-01 01:00:00,2026-07-01,1,Night,Lavender Bar Soap,0.78,60.0,12.7,Machine Breakdown,47.3,47,31,0,31,0.81,100.0,65.96,78.83,84.02,66.23,2.93,13.1,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0108,Line-3,2026-07-01 01:00:00,2026-07-01,1,Night,Aloe Vera Liquid Soap,0.86,60.0,28.7,Power Outage,31.3,52,22,1,21,4.23,95.45,42.31,52.17,81.73,40.7,1.97,9.13,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0106,Line-1,2026-07-01 02:00:00,2026-07-01,2,Night,Charcoal Bar Soap,1.5,60.0,2.6,No Downtime,57.4,90,87,3,84,3.94,96.55,96.67,95.67,101.05,93.34,8.54,20.65,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0107,Line-2,2026-07-01 02:00:00,2026-07-01,2,Night,Lavender Bar Soap,0.78,60.0,12.2,Changeover/Setup,47.8,47,32,0,32,0.98,100.0,68.09,79.67,85.83,68.38,3.29,13.6,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0108,Line-3,2026-07-01 02:00:00,2026-07-01,2,Night,Aloe Vera Liquid Soap,0.86,60.0,5.9,Changeover/Setup,54.1,52,44,2,42,3.98,95.45,84.62,90.17,94.57,81.39,4.43,15.12,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0106,Line-1,2026-07-01 03:00:00,2026-07-01,3,Night,Charcoal Bar Soap,1.5,60.0,0.0,No Downtime,60.0,90,76,1,75,1.68,98.68,84.44,100.0,84.44,83.33,8.19,21.17,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0107,Line-2,2026-07-01 03:00:00,2026-07-01,3,Night,Lavender Bar Soap,0.78,60.0,9.8,Changeover/Setup,50.2,47,38,2,36,3.96,94.74,80.85,83.67,97.05,76.93,3.91,13.46,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0108,Line-3,2026-07-01 03:00:00,2026-07-01,3,Night,Aloe Vera Liquid Soap,0.86,60.0,14.5,Changeover/Setup,45.5,52,33,1,32,2.41,96.97,63.46,75.83,84.33,62.01,2.98,14.19,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0106,Line-1,2026-07-01 04:00:00,2026-07-01,4,Night,Charcoal Bar Soap,1.5,60.0,12.0,Material Shortage,48.0,90,72,2,70,3.37,97.22,80.0,80.0,100.0,77.78,7.78,16.63,1
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0107,Line-2,2026-07-01 04:00:00,2026-07-01,4,Night,Lavender Bar Soap,0.78,60.0,30.8,Material Shortage,29.2,47,20,0,20,1.86,100.0,42.55,48.67,87.81,42.74,1.92,7.94,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0108,Line-3,2026-07-01 04:00:00,2026-07-01,4,Night,Aloe Vera Liquid Soap,0.86,60.0,32.1,Material Shortage,27.9,52,21,1,20,2.74,95.24,40.38,46.5,87.52,38.76,1.84,8.9,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0106,Line-1,2026-07-01 05:00:00,2026-07-01,5,Night,Charcoal Bar Soap,1.5,60.0,25.0,Staff Shortage,35.0,90,53,2,51,2.99,96.23,58.89,58.33,100.95,56.66,5.43,11.44,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0107,Line-2,2026-07-01 05:00:00,2026-07-01,5,Night,Lavender Bar Soap,0.78,60.0,36.4,Machine Breakdown,23.6,47,17,1,16,3.11,94.12,36.17,39.33,92.35,34.19,1.52,5.97,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0108,Line-3,2026-07-01 05:00:00,2026-07-01,5,Night,Aloe Vera Liquid Soap,0.86,60.0,35.7,Preventive Maintenance,24.3,52,17,0,17,2.81,100.0,32.69,40.5,81.35,32.95,1.64,7.98,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0106,Line-1,2026-07-01 06:00:00,2026-07-01,6,Morning,Charcoal Bar Soap,1.5,60.0,3.8,No Downtime,56.2,90,70,1,69,1.7,98.57,77.78,93.67,83.04,76.67,6.22,17.68,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0107,Line-2,2026-07-01 06:00:00,2026-07-01,6,Morning,Lavender Bar Soap,0.78,60.0,0.2,No Downtime,59.8,47,38,1,37,3.06,97.37,80.85,99.67,81.47,79.07,4.04,15.26,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0108,Line-3,2026-07-01 06:00:00,2026-07-01,6,Morning,Aloe Vera Liquid Soap,0.86,60.0,0.9,No Downtime,59.1,52,41,1,40,2.71,97.56,78.85,98.5,80.67,77.52,3.57,18.51,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0106,Line-1,2026-07-01 07:00:00,2026-07-01,7,Morning,Charcoal Bar Soap,1.5,60.0,32.9,Material Shortage,27.1,90,33,1,32,3.49,96.97,36.67,45.17,81.18,35.56,2.89,9.54,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0107,Line-2,2026-07-01 07:00:00,2026-07-01,7,Morning,Lavender Bar Soap,0.78,60.0,34.4,Material Shortage,25.6,47,19,1,18,3.33,94.74,40.43,42.67,95.15,38.46,1.91,6.11,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0108,Line-3,2026-07-01 07:00:00,2026-07-01,7,Morning,Aloe Vera Liquid Soap,0.86,60.0,2.3,No Downtime,57.7,52,40,0,40,1.23,100.0,76.92,96.17,80.61,77.52,4.33,18.26,3
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0106,Line-1,2026-07-01 08:00:00,2026-07-01,8,Morning,Charcoal Bar Soap,1.5,60.0,2.6,No Downtime,57.4,90,81,2,79,1.95,97.53,90.0,95.67,94.08,87.78,8.03,18.6,2
PureGlow Soaps International (Fictional Dummy Company),Global Manufacturing Head - PureGlow Soaps,Australia,Fiji,Labasa,FCT036,Labasa Soap Plant,LN0107,Line-2,2026-07-01 08:00:00,2026-07-01,8,Morning,Lavender Bar Soap,0.78,60.0,3.4,No Downtime,56.6,47,38,0,38,0.0,100.0,80.85,94.33,86.07,81.19,3.92,15.56,3
